strategyA,strategyB,sideA,sideB,type,entryA_ts,entryB_ts,exitA_ts,exitB_ts,exit_first_ts,overlap_start_et,overlap_end_et,overlap_minutes,pnlA,pnlB,joint_pnl,tradeA_id,tradeB_id
gex-flip-ivpct,gex-lt-3m,long,long,confluence,1745415600000,1774446900000,1745415600000,1774448520000,1745415600000,2026-03-25 09:55:00,2025-04-23 09:40:00,0.00,255,2390,2645,gex-flip-ivpct:T000040,gex-lt-3m:T000871
gex-flip-ivpct,gex-lt-3m,long,long,confluence,1745586300000,1774446900000,1745586300000,1774448520000,1745586300000,2026-03-25 09:55:00,2025-04-25 09:05:00,0.00,60,2390,2450,gex-flip-ivpct:T000041,gex-lt-3m:T000871
gex-flip-ivpct,gex-level-fade,long,long,confluence,1745415600000,1774448460000,1745415600000,1774448668000,1745415600000,2026-03-25 10:21:00,2025-04-23 09:40:00,0.00,255,-395,-140,gex-flip-ivpct:T000040,gex-level-fade:T001031
gex-flip-ivpct,gex-level-fade,long,long,confluence,1745586300000,1774448460000,1745586300000,1774448668000,1745586300000,2026-03-25 10:21:00,2025-04-25 09:05:00,0.00,60,-395,-335,gex-flip-ivpct:T000041,gex-level-fade:T001031
gex-level-fade,gex-lt-3m,long,long,confluence,1774448460000,1774446900000,1774448668000,1774448520000,1774448520000,2026-03-25 10:21:00,2026-03-25 10:22:00,1.00,-395,2390,1995,gex-level-fade:T001031,gex-lt-3m:T000871
gex-flip-ivpct,gex-lt-3m,long,long,confluence,1745415600000,1774457160000,1745415600000,1774458300000,1745415600000,2026-03-25 12:46:00,2025-04-23 09:40:00,0.00,255,-1035,-780,gex-flip-ivpct:T000040,gex-lt-3m:T000872
gex-flip-ivpct,gex-lt-3m,long,long,confluence,1745586300000,1774457160000,1745586300000,1774458300000,1745586300000,2026-03-25 12:46:00,2025-04-25 09:05:00,0.00,60,-1035,-975,gex-flip-ivpct:T000041,gex-lt-3m:T000872
gex-flip-ivpct,gex-level-fade,long,short,conflict,1745415600000,1774531080000,1745415600000,1774532716000,1745415600000,2026-03-26 09:18:00,2025-04-23 09:40:00,0.00,255,-395,-140,gex-flip-ivpct:T000040,gex-level-fade:T001032
gex-flip-ivpct,gex-level-fade,long,short,conflict,1745586300000,1774531080000,1745586300000,1774532716000,1745586300000,2026-03-26 09:18:00,2025-04-25 09:05:00,0.00,60,-395,-335,gex-flip-ivpct:T000041,gex-level-fade:T001032
gex-flip-ivpct,gex-level-fade,long,short,conflict,1745415600000,1774533225000,1745415600000,1774533296000,1745415600000,2026-03-26 09:53:45,2025-04-23 09:40:00,0.00,255,-395,-140,gex-flip-ivpct:T000040,gex-level-fade:T001033
gex-flip-ivpct,gex-level-fade,long,short,conflict,1745586300000,1774533225000,1745586300000,1774533296000,1745586300000,2026-03-26 09:53:45,2025-04-25 09:05:00,0.00,60,-395,-335,gex-flip-ivpct:T000041,gex-level-fade:T001033
gex-flip-ivpct,gex-level-fade,long,short,conflict,1745415600000,1774533600000,1745415600000,1774534022000,1745415600000,2026-03-26 10:00:00,2025-04-23 09:40:00,0.00,255,-395,-140,gex-flip-ivpct:T000040,gex-level-fade:T001034
gex-flip-ivpct,gex-level-fade,long,short,conflict,1745586300000,1774533600000,1745586300000,1774534022000,1745586300000,2026-03-26 10:00:00,2025-04-25 09:05:00,0.00,60,-395,-335,gex-flip-ivpct:T000041,gex-level-fade:T001034
gex-flip-ivpct,gex-lt-3m,long,long,confluence,1745415600000,1774609980000,1745415600000,1774615380000,1745415600000,2026-03-27 07:13:00,2025-04-23 09:40:00,0.00,255,-20,235,gex-flip-ivpct:T000040,gex-lt-3m:T000873
gex-flip-ivpct,gex-lt-3m,long,long,confluence,1745586300000,1774609980000,1745586300000,1774615380000,1745586300000,2026-03-27 07:13:00,2025-04-25 09:05:00,0.00,60,-20,40,gex-flip-ivpct:T000041,gex-lt-3m:T000873
gex-flip-ivpct,gex-level-fade,long,long,confluence,1745415600000,1774619641000,1745415600000,1774619700000,1745415600000,2026-03-27 09:54:01,2025-04-23 09:40:00,0.00,255,-395,-140,gex-flip-ivpct:T000040,gex-level-fade:T001036
gex-flip-ivpct,gex-level-fade,long,long,confluence,1745586300000,1774619641000,1745586300000,1774619700000,1745586300000,2026-03-27 09:54:01,2025-04-25 09:05:00,0.00,60,-395,-335,gex-flip-ivpct:T000041,gex-level-fade:T001036
gex-flip-ivpct,gex-lt-3m,long,short,conflict,1745415600000,1774877460000,1745415600000,1774877520000,1745415600000,2026-03-30 09:31:00,2025-04-23 09:40:00,0.00,255,-1020,-765,gex-flip-ivpct:T000040,gex-lt-3m:T000874
