trade_date,rth_open,on_high,on_low,pd_high,pd_low,pd_close,roll,symbol
2023-10-11,15325.25,15345.75,15273.25,15383.5,15180.0,15270.25,0,NQZ3
2023-10-12,15392.75,15448.0,15361.5,15387.25,15253.0,15377.0,0,NQZ3
2023-10-13,15342.25,15348.75,15217.25,15468.75,15216.25,15315.25,0,NQZ3
2023-10-16,15175.75,15187.5,15083.0,15366.75,15062.25,15121.5,0,NQZ3
2023-10-17,15138.5,15306.5,15136.5,15336.75,15168.75,15293.5,0,NQZ3
2023-10-18,15130.75,15238.25,15124.0,15309.25,15050.25,15241.0,0,NQZ3
2023-10-19,15087.5,15107.0,14937.0,15223.75,14979.25,15023.5,0,NQZ3
2023-10-20,14862.5,14887.5,14796.0,15138.25,14852.25,14885.75,0,NQZ3
2023-10-23,14602.5,14716.0,14520.5,14886.0,14651.75,14661.25,0,NQZ3
2023-10-24,14778.25,14825.0,14720.0,14853.75,14514.25,14706.25,0,NQZ3
2023-10-25,14741.5,14855.0,14713.0,14878.0,14706.0,14846.25,0,NQZ3
2023-10-26,14420.75,14430.75,14257.0,14749.25,14451.25,14476.25,0,NQZ3
2023-10-27,14307.0,14343.5,14246.5,14459.0,14140.25,14194.5,0,NQZ3
2023-10-30,14365.75,14391.75,14303.0,14407.75,14209.75,14266.0,0,NQZ3
2023-10-31,14419.25,14454.0,14320.25,14476.5,14306.25,14418.75,0,NQZ3
2023-11-01,14520.25,14534.5,14410.75,14503.75,14311.25,14489.5,0,NQZ3
2023-11-02,14920.5,14953.5,14760.0,14762.0,14515.25,14742.75,0,NQZ3
2023-11-03,15051.0,15065.5,14925.5,15008.5,14869.5,14999.5,0,NQZ3
2023-11-06,15204.0,15225.25,15162.75,15228.5,15040.5,15174.5,0,NQZ3
2023-11-07,15275.75,15284.5,15176.0,15257.5,15138.0,15233.75,0,NQZ3
2023-11-08,15388.5,15390.0,15336.25,15412.25,15224.0,15375.25,0,NQZ3
2023-11-09,15404.5,15411.0,15345.25,15417.5,15286.75,15383.75,0,NQZ3
2023-11-10,15327.75,15331.0,15207.25,15453.75,15236.75,15258.75,0,NQZ3
2023-11-13,15529.75,15601.25,15509.5,15604.5,15305.5,15597.25,0,NQZ3
2023-11-14,15812.0,15839.75,15552.0,15589.5,15465.25,15547.75,0,NQZ3
2023-11-15,15957.25,16049.5,15895.0,15918.75,15790.25,15878.75,0,NQZ3
2023-11-16,15850.75,15883.25,15822.0,15977.25,15832.5,15890.5,0,NQZ3
2023-11-17,15862.75,15919.75,15860.0,15906.75,15796.75,15897.25,0,NQZ3
2023-11-20,15895.0,15932.0,15837.25,15940.0,15825.0,15897.5,0,NQZ3
2023-11-21,16013.0,16122.5,16000.25,16116.75,15894.75,16088.5,0,NQZ3
2023-11-22,16069.75,16079.25,15942.75,16020.75,15916.75,15988.5,0,NQZ3
2023-11-23,16063.0,16086.5,16034.5,16173.5,16005.5,16048.0,0,NQZ3
2023-11-24,16028.5,16077.0,16024.5,16074.75,16051.5,16062.5,0,NQZ3
2023-11-27,15999.0,16021.75,15938.75,16053.5,15981.75,16011.0,0,NQZ3
2023-11-28,15974.5,16014.0,15945.25,16089.25,15970.25,16007.5,0,NQZ3
2023-11-29,16147.25,16173.25,16040.5,16071.5,15958.5,16048.0,0,NQZ3
2023-11-30,16032.5,16098.5,16027.25,16208.5,16013.5,16026.0,0,NQZ3
2023-12-01,15933.5,16000.75,15919.25,16051.5,15856.0,15981.0,0,NQZ3
2023-12-04,15862.5,16026.0,15848.5,16050.0,15864.0,16025.0,0,NQZ3
2023-12-05,15791.25,15863.25,15761.25,15885.75,15721.25,15871.25,0,NQZ3
2023-12-06,16033.5,16037.0,15891.0,15961.0,15783.25,15912.0,0,NQZ3
2023-12-07,15934.25,15940.0,15791.0,16037.75,15802.0,15815.0,0,NQZ3
2023-12-08,15956.0,16038.75,15888.25,16066.0,15887.5,16035.25,0,NQZ3
2023-12-11,16290.25,16307.75,16059.25,16118.75,15947.25,16098.75,1,NQH4
2023-12-12,16444.25,16548.0,16440.25,16459.5,16281.5,16447.75,0,NQH4
2023-12-13,16609.5,16635.75,16590.0,16579.75,16396.5,16577.5,0,NQH4
2023-12-14,16820.5,16885.0,16775.25,16806.5,16576.0,16779.5,0,NQH4
2023-12-15,16787.5,16818.5,16732.25,16877.25,16628.0,16755.5,0,NQH4
2023-12-18,16846.5,16858.75,16802.25,16887.25,16762.5,16819.75,0,NQH4
2023-12-19,16952.25,16989.25,16910.75,16974.0,16832.5,16938.25,0,NQH4
2023-12-20,16985.5,17046.0,16962.0,17027.5,16944.5,17021.0,0,NQH4
2023-12-21,16922.25,16970.25,16790.25,17073.5,16760.25,16764.25,0,NQH4
2023-12-22,16999.25,17014.0,16891.5,16966.0,16815.0,16950.5,0,NQH4
2023-12-26,17009.5,17037.25,16964.5,17041.5,16896.0,16980.25,0,NQH4
2023-12-27,17091.75,17106.25,17072.75,17111.25,17005.5,17084.5,0,NQH4
2023-12-28,17148.25,17165.25,17118.25,17127.75,17055.5,17116.75,0,NQH4
2023-12-29,17089.0,17131.0,17066.0,17159.0,17077.75,17090.75,0,NQH4
2024-01-02,16861.75,17038.5,16817.0,17107.5,16938.25,17019.0,0,NQH4
2024-01-03,16610.0,16737.25,16591.5,16873.5,16622.5,16721.0,0,NQH4
2024-01-04,16453.25,16587.25,16444.0,16653.5,16522.0,16540.75,0,NQH4
2024-01-05,16449.25,16469.0,16334.25,16583.75,16436.0,16443.75,0,NQH4
2024-01-08,16512.0,16514.25,16378.25,16577.25,16403.75,16463.75,0,NQH4
2024-01-09,16669.25,16796.0,16657.75,16811.25,16505.5,16801.25,0,NQH4
2024-01-10,16840.0,16906.25,16806.25,16868.5,16660.5,16831.75,0,NQH4
2024-01-11,16984.5,17057.0,16892.25,16983.0,16801.5,16941.5,0,NQH4
2024-01-12,17008.0,17008.75,16866.5,17043.5,16753.0,16965.5,0,NQH4
2024-01-15,16957.75,17024.25,16938.75,17042.5,16913.5,16972.25,0,NQH4
2024-01-16,16917.0,16965.0,16811.75,16979.0,16936.25,16970.0,0,NQH4
2024-01-17,16825.25,16982.0,16805.25,17033.75,16855.0,16968.0,0,NQH4
2024-01-18,16997.0,17044.75,16834.25,16885.0,16689.25,16868.75,0,NQH4
2024-01-19,17190.75,17255.25,17107.25,17125.75,16942.5,17109.0,0,NQH4
2024-01-22,17528.25,17582.5,17466.0,17448.0,17166.25,17442.5,0,NQH4
2024-01-23,17487.5,17525.5,17420.5,17585.0,17434.0,17460.75,0,NQH4
2024-01-24,17692.5,17694.5,17552.25,17539.0,17409.5,17529.5,0,NQH4
2024-01-25,17722.0,17727.25,17589.25,17793.5,17604.0,17624.75,0,NQH4
2024-01-26,17557.75,17611.5,17466.0,17752.0,17542.0,17638.0,0,NQH4
