week_monday,open,high,low,close,n_bars,symbol
2025-12-22,619.02,625.51,617.35,623.6,2914,QQQ
2025-12-29,622.17,622.85,610.15,613.25,3121,QQQ
2026-01-05,616.01,627.94,615.8,626.64,4130,QQQ
2026-01-12,620.63,629.51,614.57,621.0,4183,QQQ
2026-01-19,609.81,625.39,605.46,621.42,3388,QQQ
2026-01-26,622.68,637.3,618.27,620.86,4256,QQQ
2026-02-02,615.26,630.1,588.75,608.68,4320,QQQ
2026-02-09,610.03,617.52,596.42,601.07,4206,QQQ
2026-02-16,597.99,610.35,593.34,608.9,3306,QQQ
2026-02-23,605.32,619.18,599.05,606.4,4231,QQQ
2026-03-02,596.95,612.88,591.87,599.78,4259,QQQ
2026-03-09,590.62,613.28,589.46,592.86,4522,QQQ
2026-03-16,596.54,607.95,578.54,586.24,4463,QQQ
2026-03-23,575.09,597.0,560.74,561.57,4546,QQQ
2026-03-30,564.71,587.73,555.44,584.77,3698,QQQ
2026-04-06,587.14,613.67,578.41,611.84,4456,QQQ
2026-04-13,606.69,649.99,606.05,649.07,4476,QQQ
2026-04-20,644.98,664.51,642.21,663.55,4438,QQQ
2026-04-27,663.77,675.799995243,653.81,673.86,3651,QQQ
2026-05-04,676.04,712.12,668.9,711.32,4526,QQQ
2026-05-11,710.79,722.03,696.65,707.7,4509,QQQ
2026-05-18,706.29,722.12,695.27,717.23,4529,QQQ
2026-05-25,722.95,741.61,722.5,737.75,3565,QQQ
2026-06-01,741.19,748.63,699.76,703.2,4582,QQQ
2026-06-08,711.15,725.66,686.4,722.2,4619,QQQ
2026-06-15,735.98,744.76,735.1,742.88,946,QQQ
