id,entryTime,exitTime,side,levelType,levelPrice,entryPrice,barsHeld,exitReason,pnl_pts,mfe_pts,mae_pts,won,entry_gamma_flip,entry_gamma_flip_dist_raw,entry_total_gex,entry_gamma_imbalance,entry_regime,entry_in_dir_wall,entry_in_dir_wall_dist,entry_in_dir_wall_strength,entry_opp_wall,entry_opp_wall_dist,entry_opp_wall_strength,entry_iv,entry_skew,snapshots_during_trade,gamma_flip_drift_raw,gamma_flip_drift_signed_dir,in_dir_wall_strength_pct_change,opp_wall_strength_pct_change,in_dir_wall_move_raw,opp_wall_move_raw,total_gex_change_pct,gamma_imbalance_change,regime_changed,exit_regime,iv_change,skew_change
T000212,2025-04-04T19:03:03.000Z,2025-04-04T19:13:36.000Z,long,S2,17607.3400,17583.5000,10.0000,take_profit,119.7500,117.0000,12.7500,1.0000,,,-3608459261.3473,-0.9981,negative,17400.4300,183.0700,212557235.6554,20507.6500,2924.1500,4139122.9421,[object Object],-0.1004,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,negative,0.0206,0.1254
T000213,2025-04-07T13:46:00.000Z,2025-04-07T13:47:18.000Z,long,S3,16714.9600,16738.0000,1.0000,take_profit,119.7500,113.5000,10.2500,1.0000,,,-2957952624.8400,-0.9061,negative,16297.0900,440.9100,297886525.0682,18302.8800,1564.8800,14682346.1881,[object Object],-0.1854,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,negative,0.0788,0.1809
T000214,2025-04-07T14:19:00.000Z,2025-04-07T14:19:34.000Z,short,R5,17978.9900,18011.5000,0.0000,trailing_stop,4.7500,101.5000,0.0000,1.0000,,,-2848980777.3807,-0.9144,negative,18144.6900,133.1900,17022180.5220,16984.7600,1026.7400,282073536.0513,[object Object],0.0618,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,negative,0.0000,0.0000
T000215,2025-04-07T15:38:00.000Z,2025-04-07T15:38:51.000Z,long,S1,17397.4100,17395.7500,0.0000,trailing_stop,4.7500,63.2500,17.7500,1.0000,,,-2885450135.5404,-0.9329,negative,17397.4100,-1.6600,289001122.5994,18143.0200,747.2700,21228749.1538,[object Object],-0.1251,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,negative,0.0000,0.0000
T000216,2025-04-07T16:26:00.000Z,2025-04-07T16:27:45.000Z,long,S1,17397.9400,17373.2500,1.0000,trailing_stop,4.7500,75.2500,29.0000,1.0000,,,-2802795371.3792,-0.9345,negative,17397.9400,-24.6900,289706679.8069,18143.5700,770.3200,18283671.5974,[object Object],-0.0395,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,negative,0.1988,0.0150
T000217,2025-04-07T17:14:00.000Z,2025-04-07T17:16:22.000Z,long,S1,17397.2500,17402.0000,2.0000,take_profit,121.5000,121.0000,5.7500,1.0000,,,-2846977064.1635,-0.9359,negative,17397.2500,4.7500,289921168.8981,18142.8500,740.8500,20440501.3229,[object Object],-0.1191,1.0000,,,-0.0152,0.1258,160.3000,167.1600,-0.0522,-0.0058,0.0000,negative,0.0858,-0.2065
T000218,2025-04-07T18:03:04.000Z,2025-04-07T18:06:32.000Z,long,S2,17758.4400,17737.5000,3.0000,stop_loss,-81.5000,48.5000,79.5000,0.0000,,,-3021617209.4256,-0.9424,negative,17549.5100,187.9900,284470861.4912,18301.6400,564.1400,22353375.5857,[object Object],-0.1523,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,negative,0.0152,-0.0642
T000219,2025-04-08T14:00:00.000Z,2025-04-08T14:10:03.000Z,short,R1,18265.5600,18247.7500,10.0000,stop_loss,-81.5000,28.5000,79.5000,0.0000,,,-1663685836.8175,-0.5211,negative,18819.7100,571.9600,92224198.6035,17565.0600,682.6900,198259118.0417,[object Object],0.0962,1.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,negative,-0.0491,-0.1104
T000220,2025-04-08T15:03:00.000Z,2025-04-08T15:13:23.000Z,short,R1,18146.3000,18162.2500,10.0000,take_profit,120.0000,120.0000,15.2500,1.0000,,,-2374855952.8306,-0.5772,negative,18146.3000,-15.9500,70421616.3279,17400.5600,761.6900,193496345.7628,[object Object],0.1576,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,negative,0.1538,-0.1256
T000221,2025-04-08T15:46:00.000Z,2025-04-08T15:52:08.000Z,short,R5,18102.8800,18101.5000,6.0000,take_profit,120.2500,119.7500,4.7500,1.0000,,,-2367288312.5745,-0.5737,negative,18144.3100,42.8100,70980197.1530,17398.6500,702.8500,193516018.4772,[object Object],0.0215,0.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,negative,0.0524,0.2059
