trade_id,side,levelType,entryTime,exitTime,snap_ts,bars_elapsed,bars_remaining,frac_elapsed,won,pnl_pts,mfe_pts,mae_pts,exit_reason,regime,gamma_flip,gamma_flip_dist,total_gex,gamma_imbalance,in_dir_wall,in_dir_wall_dist,in_dir_wall_strength,opp_wall,opp_wall_dist,opp_wall_strength,regime_changed_since_entry,in_dir_wall_strength_pct_change,opp_wall_strength_pct_change,total_gex_change_pct,gamma_imbalance_change,gamma_flip_drift_signed_dir
T000400,long,S1,2025-07-23T13:46:00.000Z,2025-07-23T14:45:00.000Z,2025-07-23T14:30:00.000Z,44.0000,15.0000,0.7458,1.0000,6.5000,44.5000,19.7500,max_hold_time,negative,20889.1800,2277.3200,-1010781479.8641,-0.1342,23164.2400,2.2600,1308955669.1055,23577.8800,411.3800,537208509.1452,0.0000,-0.0173,0.0132,0.1154,0.0303,-0.2800
T000400,long,S1,2025-07-23T13:46:00.000Z,2025-07-23T14:45:00.000Z,2025-07-23T14:45:00.000Z,59.0000,0.0000,1.0000,1.0000,6.5000,44.5000,19.7500,max_hold_time,neutral,20890.0200,2276.4800,-509917398.7837,-0.0164,23165.1700,1.3300,1160125637.0671,23578.8300,412.3300,560814928.8070,1.0000,-0.1291,0.0577,0.5537,0.1480,-1.1200
T000401,long,S1,2025-07-23T14:53:00.000Z,2025-07-23T15:52:00.000Z,2025-07-23T15:00:00.000Z,7.0000,52.0000,0.1186,1.0000,40.7500,41.7500,7.2500,max_hold_time,neutral,20889.6600,2296.5900,-702034093.9989,-0.0625,23164.7700,21.4800,1225783806.1763,23578.4200,392.1700,552096357.4252,0.0000,0.0566,-0.0155,-0.3768,-0.0461,0.3600
T000401,long,S1,2025-07-23T14:53:00.000Z,2025-07-23T15:52:00.000Z,2025-07-23T15:15:00.000Z,22.0000,37.0000,0.3729,1.0000,40.7500,41.7500,7.2500,max_hold_time,neutral,21923.2200,1263.0300,-282306066.5407,-0.0358,23164.1500,22.1000,1079216161.0732,23577.8000,391.5500,570034227.2550,0.0000,-0.0697,0.0164,0.4464,-0.0193,-1033.2000
T000401,long,S1,2025-07-23T14:53:00.000Z,2025-07-23T15:52:00.000Z,2025-07-23T15:30:00.000Z,37.0000,22.0000,0.6271,1.0000,40.7500,41.7500,7.2500,max_hold_time,neutral,20972.8300,2213.4200,-218694347.5404,-0.0209,23165.2600,20.9900,1053605647.1668,23578.9200,392.6700,572873865.9126,0.0000,-0.0918,0.0215,0.5711,-0.0044,-82.8100
T000401,long,S1,2025-07-23T14:53:00.000Z,2025-07-23T15:52:00.000Z,2025-07-23T15:45:00.000Z,52.0000,7.0000,0.8814,1.0000,40.7500,41.7500,7.2500,max_hold_time,neutral,21307.1800,1879.0700,888236678.8760,0.1866,23406.2100,-219.9600,599161774.6244,23824.1800,637.9300,618853007.4091,0.0000,-0.4835,0.1035,2.7419,0.2030,-417.1600
T000402,long,S2,2025-07-23T16:41:00.000Z,2025-07-23T17:40:00.000Z,2025-07-23T16:45:00.000Z,4.0000,55.0000,0.0678,1.0000,30.2500,31.7500,2.2500,max_hold_time,neutral,20972.0400,2243.9600,180489380.6262,0.0783,23164.3800,51.6200,883556108.9364,23578.0300,362.0300,590148879.3754,0.0000,-0.0226,0.0035,0.3658,0.0125,0.5100
T000402,long,S2,2025-07-23T16:41:00.000Z,2025-07-23T17:40:00.000Z,2025-07-23T17:00:00.000Z,19.0000,40.0000,0.3220,1.0000,30.2500,31.7500,2.2500,max_hold_time,neutral,20973.1200,2242.8800,6338019.1384,0.0339,23165.5800,50.4200,958495445.0400,23579.2500,363.2500,582694101.0375,0.0000,0.0603,-0.0091,-0.9520,-0.0319,-0.5700
T000402,long,S2,2025-07-23T16:41:00.000Z,2025-07-23T17:40:00.000Z,2025-07-23T17:15:00.000Z,34.0000,25.0000,0.5763,1.0000,30.2500,31.7500,2.2500,max_hold_time,neutral,20972.2600,2243.7400,293926894.4105,0.1080,23164.6300,51.3700,834735343.6723,23578.2800,362.2800,594948067.5134,0.0000,-0.0766,0.0117,1.2242,0.0422,0.2900
T000402,long,S2,2025-07-23T16:41:00.000Z,2025-07-23T17:40:00.000Z,2025-07-23T17:30:00.000Z,49.0000,10.0000,0.8305,1.0000,30.2500,31.7500,2.2500,max_hold_time,neutral,21088.1600,2127.8400,997717886.1722,0.2180,23165.6100,50.3900,553988785.8789,23579.2900,363.2900,623761187.9914,0.0000,-0.3871,0.0607,6.5499,0.1521,-115.6100
