date,day_of_week,rth_close,overnight_return,direction,overnight_range,max_up,max_down,gex_regime,total_gex,gf_dist,s1_dist,r1_dist,lt_sentiment,evening_ret,dead_zone_ret,european_ret,premarket_ret
2024-12-16,Monday,22111.50,-78.00,DOWN,99.00,13.00,86.00,strong_positive,5.27,1502.68,1710.85,370.85,BULLISH,-27.00,4.25,-5.00,-54.00
2024-12-17,Tuesday,22315.25,-35.25,DOWN,181.75,72.50,109.25,positive,3.07,2473.98,420.01,-132.46,BULLISH,-23.50,50.50,12.50,-69.75
2024-12-18,Wednesday,21496.75,180.25,UP,254.25,185.25,69.00,negative,-2.14,1736.60,280.59,759.42,BEARISH,37.25,-50.75,80.25,108.75
2024-12-19,Thursday,21376.75,-165.75,DOWN,422.75,52.50,370.25,negative,-2.40,,169.25,653.27,BEARISH,-151.50,15.25,-169.50,88.25
2024-12-23,Monday,21755.50,71.00,UP,138.50,92.00,46.50,neutral,0.51,-492.80,122.09,85.92,BULLISH,-8.00,28.00,32.75,28.50
2024-12-26,Thursday,22007.25,-161.50,DOWN,164.00,0.75,163.25,positive,2.44,188.52,396.32,227.08,BEARISH,-18.50,-36.00,-23.75,-67.50
2024-12-30,Monday,21411.75,44.25,UP,181.25,113.00,68.25,negative,-2.82,,-1.38,621.94,BULLISH,-20.75,9.50,108.75,-32.25
2025-01-02,Thursday,21169.00,124.25,UP,159.00,134.00,25.00,negative,-2.71,,212.99,1031.93,BEARISH,52.25,-2.00,34.00,23.00
2025-01-06,Monday,21750.50,41.25,UP,136.25,46.75,89.50,positive,2.14,2061.37,186.10,228.60,BEARISH,-19.75,-70.75,37.25,63.50
2025-01-07,Tuesday,21359.00,-3.00,RANGE,226.75,89.25,137.50,negative,-1.50,,-14.55,852.72,BULLISH,25.00,-6.75,30.00,-74.25
2025-01-08,Wednesday,21360.25,-58.75,DOWN,129.25,-13.00,142.25,negative,-2.23,,217.30,611.84,BEARISH,-28.00,8.00,-4.25,-10.00
2025-01-13,Monday,20948.25,123.00,UP,199.75,195.50,4.25,negative,-2.18,,236.13,178.11,BULLISH,33.00,-5.50,53.00,-29.50
2025-01-14,Tuesday,20923.00,329.00,UP,420.00,406.00,14.00,negative,-2.61,,210.71,1032.03,BULLISH,-22.00,-7.25,12.75,291.25
2025-01-15,Wednesday,21395.75,99.00,UP,214.25,171.50,42.75,positive,1.40,-101.93,685.08,60.51,BEARISH,36.50,14.75,33.50,20.25
2025-01-16,Thursday,21248.00,398.75,UP,473.25,434.50,38.75,negative,-1.33,,127.30,493.90,BEARISH,12.50,48.25,54.50,303.00
2025-01-20,Monday,21683.00,27.75,UP,368.50,63.25,305.25,,,,,,BEARISH,-219.00,129.00,108.00,3.25
2025-01-21,Tuesday,21714.50,199.75,UP,166.00,219.75,-53.75,positive,3.02,-12.98,607.81,219.91,BULLISH,27.75,4.75,41.00,32.00
2025-01-22,Wednesday,21997.75,-108.50,DOWN,129.25,-13.00,142.25,positive,3.17,2140.56,682.87,144.89,BEARISH,-30.75,-8.50,-49.00,-4.50
2025-01-23,Thursday,22041.75,2.25,RANGE,86.75,16.75,70.00,positive,2.56,114.25,527.97,92.62,BULLISH,-10.50,-5.00,1.25,39.25
2025-01-27,Monday,21258.00,44.00,UP,204.50,165.50,39.00,negative,-2.64,,166.97,660.13,BULLISH,-57.25,5.50,105.75,-94.25
2025-01-28,Tuesday,21575.50,24.50,UP,166.50,121.50,45.00,neutral,-0.16,,488.94,337.98,BEARISH,7.25,97.50,5.00,-67.50
2025-01-29,Wednesday,21530.25,120.00,UP,209.75,185.25,24.50,neutral,0.07,-2280.11,218.02,408.82,BULLISH,37.50,56.75,-6.75,15.50
2025-01-30,Thursday,21623.00,151.50,UP,153.00,190.00,-37.00,positive,1.49,-438.54,313.56,313.19,BULLISH,29.00,53.75,20.75,-8.00
2025-02-03,Monday,21406.25,15.00,UP,357.50,193.75,163.75,neutral,-0.15,,337.10,489.14,BEARISH,-43.00,-148.50,-31.00,52.50
2025-02-04,Tuesday,21668.25,-117.75,DOWN,194.00,-44.50,238.50,neutral,-0.70,,597.53,228.77,BEARISH,36.00,-78.25,-77.25,109.50
2025-02-05,Wednesday,21761.25,16.00,UP,127.00,71.50,55.50,positive,1.59,-130.29,695.80,130.29,BULLISH,9.50,35.50,-16.25,-17.50
2025-02-06,Thursday,21870.75,15.00,UP,139.75,59.25,80.50,positive,2.28,-21.25,804.86,21.25,BULLISH,46.75,-4.25,-6.00,31.25
2025-02-10,Monday,21843.75,-138.25,DOWN,162.75,-11.50,174.25,positive,1.22,-238.03,381.08,238.03,BEARISH,-22.75,-38.00,-23.50,-43.25
2025-02-11,Tuesday,21791.00,-240.00,DOWN,339.25,59.00,280.25,positive,1.31,-287.33,744.37,80.99,BEARISH,19.00,-30.25,-15.00,-218.50
2025-02-12,Wednesday,21802.00,67.75,UP,174.00,125.00,49.00,positive,2.32,-109.36,344.55,274.42,BULLISH,34.00,-5.75,-60.75,41.75
2025-02-13,Thursday,22109.75,-1.00,RANGE,121.00,53.75,67.25,positive,3.70,239.67,858.64,172.97,BULLISH,25.25,35.50,-7.25,-15.00
2025-02-17,Monday,22235.25,23.00,UP,121.50,84.50,37.00,,,,,,BULLISH,8.75,64.00,-25.00,-14.75
2025-02-18,Tuesday,22238.75,-31.75,DOWN,111.75,52.50,59.25,positive,3.63,174.34,792.97,31.87,BULLISH,50.75,-19.75,-8.75,-40.00
2025-02-19,Wednesday,22247.00,-37.25,DOWN,94.50,-11.50,106.00,positive,3.22,185.54,144.30,20.65,BEARISH,14.25,-68.00,45.50,4.00
2025-02-20,Thursday,22144.75,41.00,UP,141.75,100.75,41.00,positive,2.39,-118.17,500.24,118.17,BEARISH,19.75,-3.00,14.75,17.25
2025-02-24,Monday,21421.00,-29.50,DOWN,167.75,32.75,135.00,negative,-4.11,,406.59,623.53,BULLISH,-8.50,-10.50,-117.25,86.75
2025-02-25,Tuesday,21149.75,88.50,UP,132.50,182.75,-50.25,negative,-4.31,,132.93,1506.38,BULLISH,19.00,27.00,28.00,-67.75
