date,tod,session,sym,move,dir,tier,ev_vol,ev_path,ev_range,ev_net,impact,pre_vol,pre_path,pre_net,impact_pre,fwd60,fwd300,fwd900
2025-07-07,908,rth,NQU5,-0.75,0,0,711.0,35.5,6.0,-0.75,49.93,1435.0,86.75,-5.0,60.453,0.25,11.75,2.5
2025-08-14,908,rth,NQU5,2.0,0,0,547.0,23.0,5.25,2.0,42.048,920.0,44.5,9.25,48.37,3.75,-5.0,1.75
2025-02-07,908,rth,NQH5,3.5,0,0,479.0,45.75,8.0,3.5,95.511,1351.0,95.0,5.0,70.318,-6.75,-27.25,-9.25
2025-06-03,908,rth,NQM5,0.5,0,0,326.0,27.75,5.75,0.5,85.123,824.0,53.0,-3.0,64.32,5.75,-6.25,-0.75
2025-05-09,928,rth,NQM5,1.5,0,0,219.0,26.75,5.75,1.5,122.146,916.0,85.0,2.5,92.795,-1.75,0.5,4.5
2025-12-17,928,rth,NQH6,-7.5,0,0,430.0,34.0,10.75,-7.5,79.07,1130.0,88.5,-4.5,78.319,14.75,9.25,30.75
2025-04-22,928,rth,NQM5,6.75,0,0,646.0,54.75,13.0,6.75,84.752,1680.0,139.25,-28.5,82.887,-4.25,-9.0,40.5
2025-06-25,928,rth,NQU5,-2.0,0,0,416.0,20.5,7.25,-2.0,49.279,751.0,38.75,-3.0,51.598,-2.25,-8.0,1.25
2025-04-08,928,rth,NQM5,6.75,0,0,1220.0,142.0,34.25,6.75,116.393,3914.0,341.5,25.5,87.251,-31.25,-102.0,-222.75
2025-06-18,929,rth,NQU5,-4.5,0,0,1111.0,77.5,13.5,-4.5,69.757,3231.0,175.75,-48.5,54.395,17.0,39.0,82.0
2025-12-01,929,rth,NQZ5,2.75,0,0,353.0,29.75,6.75,2.75,84.278,743.0,70.25,0.5,94.549,-1.0,-6.0,16.25
2025-12-03,929,rth,NQZ5,4.25,0,0,1314.0,25.0,9.0,4.25,19.026,1629.0,50.0,3.0,30.694,-3.25,-13.0,-5.5
2025-08-19,929,rth,NQU5,0.0,0,0,553.0,25.0,4.5,0.0,45.208,972.0,53.25,2.0,54.784,7.25,9.25,14.25
2025-10-14,929,rth,NQZ5,-4.25,0,0,376.0,26.5,6.75,-4.25,70.479,1216.0,75.25,-11.5,61.883,-4.25,-23.75,-184.0
2025-08-12,930,rth,NQU5,3.0,0,0,845.0,21.5,5.25,3.0,25.444,1367.0,39.75,5.75,29.078,2.0,1.25,-4.75
2026-01-23,930,rth,NQH6,-4.0,0,0,1171.0,46.75,10.0,-4.0,39.923,1067.0,70.75,-13.0,66.307,-7.25,-1.25,23.25
2025-02-03,930,rth,NQH5,-7.0,0,0,1208.0,56.0,14.25,-7.0,46.358,1514.0,96.0,-8.25,63.408,-3.25,12.75,-14.0
2025-10-01,930,rth,NQZ5,-1.0,0,0,654.0,20.5,4.75,-1.0,31.346,1626.0,43.0,11.75,26.445,6.0,4.25,-15.0
2026-01-08,930,rth,NQH6,5.75,0,0,985.0,34.0,11.5,5.75,34.518,1854.0,61.5,1.5,33.172,1.5,12.25,-1.25
2025-02-10,936,rth,NQH5,-3.5,0,0,932.0,26.75,7.75,-3.5,28.702,1119.0,48.5,-7.0,43.342,2.75,6.75,-6.75
2025-11-07,936,rth,NQZ5,8.0,0,0,974.0,76.75,15.75,8.0,78.799,1096.0,129.0,2.0,117.701,-7.0,-15.0,10.25
2025-12-08,936,rth,NQZ5,3.0,0,0,664.0,30.0,8.25,3.0,45.181,2563.0,71.5,-9.75,27.897,4.25,4.75,21.0
2025-05-09,936,rth,NQM5,-3.25,0,0,355.0,36.25,6.5,-3.25,102.113,1763.0,113.75,1.5,64.521,-7.5,-4.75,-9.5
2025-09-05,936,rth,NQU5,9.5,0,0,1330.0,36.75,10.25,9.5,27.632,1926.0,80.25,18.25,41.667,-15.0,-13.5,-25.0
2025-11-20,945,rth,NQZ5,8.0,0,0,1185.0,140.0,22.0,8.0,118.143,2145.0,198.0,-3.5,92.308,-40.25,-6.25,-34.25
2025-09-26,945,rth,NQZ5,-1.0,0,0,368.0,24.25,5.0,-1.0,65.897,860.0,43.5,-7.75,50.581,0.25,-6.25,16.25
2025-10-30,945,rth,NQZ5,1.25,0,0,855.0,70.0,8.75,1.25,81.871,1399.0,108.0,-2.0,77.198,-8.0,17.25,-6.5
2025-07-07,945,rth,NQU5,4.0,0,0,663.0,23.5,5.5,4.0,35.445,1182.0,54.5,10.5,46.108,-9.75,12.0,4.5
2025-07-02,945,rth,NQU5,-3.0,0,0,602.0,24.5,5.0,-3.0,40.698,1372.0,56.0,5.0,40.816,-3.25,2.25,18.5
2025-12-01,950,rth,NQZ5,1.5,0,0,1752.0,54.0,13.25,1.5,30.822,1109.0,68.25,-3.25,61.542,-8.75,-18.5,-9.75
2025-08-07,950,rth,NQU5,3.25,0,0,1860.0,61.75,12.75,3.25,33.199,1060.0,68.25,-8.5,64.387,3.75,4.75,49.25
2026-01-16,950,rth,NQH6,1.0,0,0,3137.0,79.75,31.0,1.0,25.422,1560.0,81.25,4.25,52.083,9.25,-10.75,-17.75
2025-07-28,950,rth,NQU5,-0.75,0,0,1686.0,25.75,9.0,-0.75,15.273,1255.0,31.75,2.75,25.299,0.0,20.5,33.25
2025-10-20,950,rth,NQZ5,-0.25,0,0,1584.0,37.25,10.5,-0.25,23.516,1474.0,51.25,6.75,34.769,5.5,-6.5,-19.5
2025-08-20,954,rth,NQU5,8.0,0,0,2429.0,70.5,24.25,8.0,29.024,1862.0,88.25,13.0,47.395,-4.5,-26.5,-31.75
2025-04-24,954,rth,NQM5,2.0,0,0,2426.0,68.0,13.0,2.0,28.03,2951.0,132.25,31.5,44.815,-8.25,-9.0,34.75
