date,quarter,tod,dir,exc,entry,stop,target,outcome,pnl,R,risk,mfe,mae
2025-01-17,2025Q1,709,1,56.5,21592.5,21577.5,21615.0,stop,-16.5,-1.1,15.0,10.5,16.0
2025-01-17,2025Q1,711,1,56.5,21602.0,21577.5,21638.75,stop,-26.0,-1.061,24.5,0.25,25.5
2025-01-17,2025Q1,757,-1,68.2,21614.0,21632.0,21587.0,stop,-19.5,-1.083,18.0,5.5,18.5
2025-01-17,2025Q1,761,-1,68.2,21612.0,21632.0,21582.0,stop,-21.5,-1.075,20.0,3.5,20.5
2025-01-17,2025Q1,774,-1,69.0,21625.25,21632.75,21614.0,target,11.25,1.5,7.5,11.25,0.75
2025-01-17,2025Q1,814,-1,66.8,21644.25,21676.0,21596.62,timeout,13.0,0.409,31.75,35.25,13.0
2025-01-17,2025Q1,862,1,61.2,21639.0,21605.0,21690.0,stop,-35.5,-1.044,34.0,5.75,34.75
2025-01-17,2025Q1,871,-1,35.8,21626.25,21648.75,21592.5,target,33.75,1.5,22.5,35.5,17.75
2025-01-17,2025Q1,873,1,48.2,21626.5,21605.0,21658.75,stop,-23.0,-1.07,21.5,17.5,22.25
2025-01-17,2025Q1,894,-1,35.8,21618.5,21648.75,21573.12,eod,-0.75,-0.025,30.25,29.25,10.25
2025-01-17,2025Q1,897,1,33.2,21623.5,21607.5,21647.5,stop,-17.5,-1.094,16.0,3.5,16.0
2025-01-20,2025Q1,572,-1,127.8,21730.5,21739.75,21716.62,stop,-10.75,-1.162,9.25,0.75,9.75
2025-01-20,2025Q1,588,-1,135.5,21762.5,21782.75,21732.12,target,30.38,1.5,20.25,31.25,9.5
2025-01-20,2025Q1,719,-1,53.2,21697.0,21734.75,21640.38,target,56.62,1.5,37.75,60.75,20.0
2025-01-20,2025Q1,724,1,43.8,21705.25,21683.0,21738.62,stop,-23.75,-1.067,22.25,5.5,27.5
2025-01-20,2025Q1,725,-1,42.8,21698.25,21734.75,21643.5,target,54.75,1.5,36.5,62.0,12.5
2025-01-20,2025Q1,763,-1,86.0,21679.0,21710.0,21632.5,timeout,-4.0,-0.129,31.0,4.75,28.75
