Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
3233,Entry long,2023-02-20 10:00,1=15903.66|2=15810.54|3=16082.03|4=15370.53|5=15251.65|S=0|T=20230220T1500,15545.25,1,310905,-370,-0.12,255,0.08,-660,-0.21,-50195,-0.01,1
3234,Exit short,2023-02-20 22:00,1=15794.87|2=15734.46|3=16070.27|4=15374.41|5=15252.39|S=0|T=20230221T0300,15532.75,1,310535,-120,-0.04,170,0.05,-245,-0.08,-50315,-0.01,1
3234,Entry short,2023-02-20 18:00,1=15846.15|2=15778.32|3=16077.48|4=15369.71|5=15250.64|S=0|T=20230220T2300,15526.75,1,310535,-120,-0.04,170,0.05,-245,-0.08,-50315,-0.01,1
3235,Exit long,2023-02-21 02:00,1=15757.55|2=15718.46|3=16070.16|4=15383.09|5=15259.08|S=0|T=20230221T0700,15445.25,1,310655,-1750,-0.56,15,0.00,-2525,-0.81,-52065,-0.01,1
3235,Entry long,2023-02-20 22:00,1=15794.87|2=15734.46|3=16070.27|4=15374.41|5=15252.39|S=0|T=20230221T0300,15532.75,1,310655,-1750,-0.56,15,0.00,-2525,-0.81,-52065,-0.01,1
3236,Exit short,2023-02-21 06:00,1=15702.41|2=15691.85|3=16059.49|4=15381.73|5=15258.1|S=0|T=20230221T1100,15406.75,1,308905,770,0.25,1005,0.33,-505,-0.16,-51295,-0.01,1
3236,Entry short,2023-02-21 02:00,1=15757.55|2=15718.46|3=16070.16|4=15383.09|5=15259.08|S=0|T=20230221T0700,15445.25,1,308905,770,0.25,1005,0.33,-505,-0.16,-51295,-0.01,1
3237,Exit long,2023-02-21 10:00,1=15763.53|2=15775.78|3=16085.93|4=15420.94|5=15292.42|S=0|T=20230221T1500,15316.5,1,308135,-1805,-0.59,265,0.09,-1915,-0.62,-53100,-0.01,1
3237,Entry long,2023-02-21 06:00,1=15702.41|2=15691.85|3=16059.49|4=15381.73|5=15258.1|S=0|T=20230221T1100,15406.75,1,308135,-1805,-0.59,265,0.09,-1915,-0.62,-53100,-0.01,1
3238,Exit short,2023-02-21 14:00,1=15679.35|2=15711.77|3=16090.41|4=15389.84|5=15260.19|S=0|T=20230221T1900,15290,1,306330,530,0.17,955,0.31,-145,-0.05,-52570,-0.01,1
3238,Entry short,2023-02-21 10:00,1=15763.53|2=15775.78|3=16085.93|4=15420.94|5=15292.42|S=0|T=20230221T1500,15316.5,1,306330,530,0.17,955,0.31,-145,-0.05,-52570,-0.01,1
3239,Exit long,2023-02-21 18:00,1=15601.74|2=15670.92|3=16071.26|4=15385.98|5=15254.37|S=0|T=20230221T2300,15320.25,1,305800,605,0.20,635,0.21,-265,-0.09,-51965,-0.01,1
3239,Entry long,2023-02-21 14:00,1=15679.35|2=15711.77|3=16090.41|4=15389.84|5=15260.19|S=0|T=20230221T1900,15290,1,305800,605,0.20,635,0.21,-265,-0.09,-51965,-0.01,1
3240,Exit short,2023-02-21 22:00,1=15534.96|2=15649.58|3=16070.4|4=15386.52|5=15264.21|S=0|T=20230222T0300,15297.25,1,306405,460,0.15,635,0.21,-10,0.00,-51505,-0.01,1
3240,Entry short,2023-02-21 18:00,1=15601.74|2=15670.92|3=16071.26|4=15385.98|5=15254.37|S=0|T=20230221T2300,15320.25,1,306405,460,0.15,635,0.21,-10,0.00,-51505,-0.01,1
3241,Exit long,2023-02-22 02:00,1=15497.48|2=15626|3=16063.18|4=15392.9|5=15270.56|S=0|T=20230222T0700,15280,1,305945,-345,-0.11,525,0.17,-1085,-0.35,-51850,-0.01,1
3241,Entry long,2023-02-21 22:00,1=15534.96|2=15649.58|3=16070.4|4=15386.52|5=15264.21|S=0|T=20230222T0300,15297.25,1,305945,-345,-0.11,525,0.17,-1085,-0.35,-51850,-0.01,1
3242,Exit short,2023-02-22 06:00,1=15437.93|2=15586.21|3=16045.43|4=15389.91|5=15266.87|S=0|T=20230222T1100,15301,1,305600,-420,-0.14,765,0.25,-1460,-0.48,-52270,-0.01,1
3242,Entry short,2023-02-22 02:00,1=15497.48|2=15626|3=16063.18|4=15392.9|5=15270.56|S=0|T=20230222T0700,15280,1,305600,-420,-0.14,765,0.25,-1460,-0.48,-52270,-0.01,1
3243,Exit long,2023-02-22 10:00,1=15389.56|2=15555.24|3=16032.83|4=15394.31|5=15270.69|S=0|T=20230222T1500,15328.5,1,306020,550,0.18,935,0.31,-1770,-0.58,-51720,-0.01,1
3243,Entry long,2023-02-22 06:00,1=15437.93|2=15586.21|3=16045.43|4=15389.91|5=15266.87|S=0|T=20230222T1100,15301,1,306020,550,0.18,935,0.31,-1770,-0.58,-51720,-0.01,1
3244,Exit short,2023-02-22 14:00,1=15352.68|2=15535.54|3=16021.24|4=15399.79|5=15279.02|S=0|T=20230222T1900,15345,1,306570,-330,-0.11,2035,0.66,-810,-0.26,-52050,-0.01,1
3244,Entry short,2023-02-22 10:00,1=15389.56|2=15555.24|3=16032.83|4=15394.31|5=15270.69|S=0|T=20230222T1500,15328.5,1,306570,-330,-0.11,2035,0.66,-810,-0.26,-52050,-0.01,1
