Date and time,Type,Signal
2026-05-13 16:45:00,Entry short,1=29633.55|2=29659.75|3=29680.13|4=29725|5=29885.2|S=29828.75|T=20260513T2045
2026-05-13 18:15:00,Exit long,1=29681.12|2=29661.31|3=29693.4|4=29720.16|5=29880.64|S=29851|T=20260513T2215
2026-05-13 18:00:00,Entry long,1=29652.57|2=29644.67|3=29677.05|4=29710.04|5=29871.22|S=29851|T=20260513T2200
2026-05-13 18:30:00,Exit short,1=29692.56|2=29671.41|3=29700.78|4=29720.53|5=29880.76|S=29866.5|T=20260513T2230
2026-05-13 18:15:00,Entry short,1=29681.12|2=29661.31|3=29693.4|4=29720.16|5=29880.64|S=29851|T=20260513T2215
2026-05-13 18:45:00,Exit long,1=29707.09|2=29680.8|3=29707.8|4=29720.77|5=29881.57|S=29883|T=20260513T2245
2026-05-13 18:30:00,Entry long,1=29692.56|2=29671.41|3=29700.78|4=29720.53|5=29880.76|S=29866.5|T=20260513T2230
2026-05-13 19:00:00,Exit short,1=29701.89|2=29660.43|3=29696.48|4=29706.66|5=29866.69|S=29935.25|T=20260513T2300
2026-05-13 18:45:00,Entry short,1=29707.09|2=29680.8|3=29707.8|4=29720.77|5=29881.57|S=29883|T=20260513T2245
2026-05-13 19:15:00,Exit long,1=29751.52|2=29700.26|3=29725.81|4=29727.41|5=29886.92|S=29913.5|T=20260513T2315
2026-05-13 19:00:00,Entry long,1=29701.89|2=29660.43|3=29696.48|4=29706.66|5=29866.69|S=29935.25|T=20260513T2300
2026-05-13 19:30:00,Exit short,1=29769.07|2=29720.34|3=29735.66|4=29729.39|5=29887.88|S=29906|T=20260513T2330
2026-05-13 19:15:00,Entry short,1=29751.52|2=29700.26|3=29725.81|4=29727.41|5=29886.92|S=29913.5|T=20260513T2315
2026-05-13 19:45:00,Exit long,1=29775.35|2=29732.91|3=29741.65|4=29728.34|5=29886.34|S=29924|T=20260513T2345
2026-05-13 19:30:00,Entry long,1=29769.07|2=29720.34|3=29735.66|4=29729.39|5=29887.88|S=29906|T=20260513T2330
