Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
79,Entry long,2021-02-11 13:45,B=0|T=20210211T1845,17080.75,1,341615,595,0.17,785,0.23,-1120,-0.33,18650,0.02,8
80,Exit long,2021-02-11 21:30,X,17091.25,1,342210,-385,-0.11,325,0.09,-585,-0.17,18265,0.02,18
80,Entry long,2021-02-11 15:45,B=1|T=20210211T2045,17110.5,1,342210,-385,-0.11,325,0.09,-585,-0.17,18265,0.02,18
81,Exit long,2021-02-11 22:30,X,17099,1,341825,155,0.05,165,0.05,-90,-0.03,18420,0.02,4
81,Entry long,2021-02-11 21:30,B=0|T=20210212T0230,17091.25,1,341825,155,0.05,165,0.05,-90,-0.03,18420,0.02,4
82,Exit long,2021-02-11 23:15,X,17095.25,1,341980,-75,-0.02,110,0.03,-110,-0.03,18345,0.02,3
82,Entry long,2021-02-11 22:30,B=1|T=20210212T0330,17099,1,341980,-75,-0.02,110,0.03,-110,-0.03,18345,0.02,3
83,Exit long,2021-02-12 00:00,X,17097,1,341905,35,0.01,55,0.02,-80,-0.02,18380,0.02,3
83,Entry long,2021-02-11 23:15,B=0|T=20210212T0415,17095.25,1,341905,35,0.01,55,0.02,-80,-0.02,18380,0.02,3
84,Exit long,2021-02-12 01:00,X,17093.5,1,341940,-70,-0.02,120,0.04,-90,-0.03,18310,0.02,4
84,Entry long,2021-02-12 00:00,B=1|T=20210212T0500,17097,1,341940,-70,-0.02,120,0.04,-90,-0.03,18310,0.02,4
85,Exit long,2021-02-12 01:15,X,17096,1,341870,50,0.01,90,0.03,-55,-0.02,18360,0.02,1
85,Entry long,2021-02-12 01:00,B=0|T=20210212T0600,17093.5,1,341870,50,0.01,90,0.03,-55,-0.02,18360,0.02,1
86,Exit long,2021-02-12 01:30,X,17093.25,1,341920,-55,-0.02,20,0.01,-85,-0.02,18305,0.02,1
86,Entry long,2021-02-12 01:15,B=1|T=20210212T0615,17096,1,341920,-55,-0.02,20,0.01,-85,-0.02,18305,0.02,1
87,Exit long,2021-02-12 01:45,X,17096,1,341865,55,0.02,80,0.02,-10,0.00,18360,0.02,1
87,Entry long,2021-02-12 01:30,B=0|T=20210212T0630,17093.25,1,341865,55,0.02,80,0.02,-10,0.00,18360,0.02,1
88,Exit long,2021-02-12 02:00,X,17091.25,1,341920,-95,-0.03,10,0.00,-160,-0.05,18265,0.02,1
88,Entry long,2021-02-12 01:45,B=1|T=20210212T0645,17096,1,341920,-95,-0.03,10,0.00,-160,-0.05,18265,0.02,1
89,Exit long,2021-02-12 02:15,X,17096.75,1,341825,110,0.03,110,0.03,-50,-0.01,18375,0.02,1
89,Entry long,2021-02-12 02:00,B=0|T=20210212T0700,17091.25,1,341825,110,0.03,110,0.03,-50,-0.01,18375,0.02,1
90,Exit long,2021-02-12 02:30,X,17093.75,1,341935,-60,-0.02,30,0.01,-85,-0.02,18315,0.02,1
90,Entry long,2021-02-12 02:15,B=1|T=20210212T0715,17096.75,1,341935,-60,-0.02,30,0.01,-85,-0.02,18315,0.02,1
91,Exit long,2021-02-12 05:15,X,17092,1,341875,-35,-0.01,135,0.04,-915,-0.27,18280,0.02,11
91,Entry long,2021-02-12 02:30,B=0|T=20210212T0730,17093.75,1,341875,-35,-0.01,135,0.04,-915,-0.27,18280,0.02,11
92,Exit long,2021-02-12 05:45,X,17089.75,1,341840,-45,-0.01,80,0.02,-95,-0.03,18235,0.02,2
92,Entry long,2021-02-12 05:15,B=1|T=20210212T1015,17092,1,341840,-45,-0.01,80,0.02,-95,-0.03,18235,0.02,2
93,Exit long,2021-02-12 06:45,X,17092,1,341795,45,0.01,90,0.03,-195,-0.06,18280,0.02,4
93,Entry long,2021-02-12 05:45,B=0|T=20210212T1045,17089.75,1,341795,45,0.01,90,0.03,-195,-0.06,18280,0.02,4
94,Exit long,2021-02-12 08:30,X,17087.25,1,341840,-95,-0.03,300,0.09,-155,-0.05,18185,0.02,7
94,Entry long,2021-02-12 06:45,B=1|T=20210212T1145,17092,1,341840,-95,-0.03,300,0.09,-155,-0.05,18185,0.02,7
95,Exit long,2021-02-12 10:00,X,17091.5,1,341745,85,0.02,130,0.04,-1125,-0.33,18270,0.02,6
95,Entry long,2021-02-12 08:30,B=0|T=20210212T1330,17087.25,1,341745,85,0.02,130,0.04,-1125,-0.33,18270,0.02,6
96,Exit long,2021-02-12 10:15,X,17072.25,1,341830,-385,-0.11,55,0.02,-560,-0.16,17885,0.02,1
96,Entry long,2021-02-12 10:00,B=1|T=20210212T1500,17091.5,1,341830,-385,-0.11,55,0.02,-560,-0.16,17885,0.02,1
97,Exit long,2021-02-12 10:30,X,17102,1,341445,595,0.17,620,0.18,-465,-0.14,18480,0.02,1
97,Entry long,2021-02-12 10:15,B=0|T=20210212T1515,17072.25,1,341445,595,0.17,620,0.18,-465,-0.14,18480,0.02,1
98,Exit long,2021-02-12 14:00,X,17104.75,1,342040,55,0.02,745,0.22,-155,-0.05,18535,0.02,14
98,Entry long,2021-02-12 10:30,B=1|T=20210212T1530,17102,1,342040,55,0.02,745,0.22,-155,-0.05,18535,0.02,14
99,Exit long,2021-02-12 14:15,X,17113.25,1,342095,170,0.05,240,0.07,-120,-0.04,18705,0.02,1
99,Entry long,2021-02-12 14:00,B=0|T=20210212T1900,17104.75,1,342095,170,0.05,240,0.07,-120,-0.04,18705,0.02,1
100,Exit long,2021-02-15 01:30,X,17227.75,1,342265,2290,0.67,2765,0.81,-205,-0.06,20995,0.02,40
100,Entry long,2021-02-12 14:15,B=1|T=20210212T1915,17113.25,1,342265,2290,0.67,2765,0.81,-205,-0.06,20995,0.02,40
101,Exit long,2021-02-15 12:30,X,17256.25,1,344555,570,0.17,640,0.19,-210,-0.06,21565,0.02,44
101,Entry long,2021-02-15 01:30,B=0|T=20210215T0630,17227.75,1,344555,570,0.17,640,0.19,-210,-0.06,21565,0.02,44
102,Exit long,2021-02-15 18:00,X,17251.25,1,345125,-100,-0.03,135,0.04,-130,-0.04,21465,0.02,2
102,Entry long,2021-02-15 12:30,B=1|T=20210215T1730,17256.25,1,345125,-100,-0.03,135,0.04,-130,-0.04,21465,0.02,2
