Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
65,Entry long,2021-03-12 00:00,B=0|T=20210312T0500,16400,1,328000,-895,-0.27,135,0.04,-4940,-1.51,4470,0.00,29
66,Exit long,2021-03-17 07:00,X,16384.5,1,327105,585,0.18,6520,1.99,-1790,-0.55,5055,0.01,47
66,Entry long,2021-03-15 06:00,B=1|T=20210315T1000,16355.25,1,327105,585,0.18,6520,1.99,-1790,-0.55,5055,0.01,47
67,Exit long,2021-03-17 14:00,X,16630,1,327690,4910,1.50,4940,1.51,-1125,-0.34,9965,0.01,7
67,Entry long,2021-03-17 07:00,B=0|T=20210317T1100,16384.5,1,327690,4910,1.50,4940,1.51,-1125,-0.34,9965,0.01,7
68,Exit long,2021-03-17 23:00,X,16573.75,1,332600,-1125,-0.34,700,0.21,-1610,-0.48,8840,0.01,8
68,Entry long,2021-03-17 14:00,B=1|T=20210317T1800,16630,1,332600,-1125,-0.34,700,0.21,-1610,-0.48,8840,0.01,8
69,Exit long,2021-03-18 00:00,X,16587.25,1,331475,270,0.08,345,0.10,-285,-0.09,9110,0.01,1
69,Entry long,2021-03-17 23:00,B=0|T=20210318T0300,16573.75,1,331475,270,0.08,345,0.10,-285,-0.09,9110,0.01,1
70,Exit long,2021-03-18 01:00,X,16589.75,1,331745,50,0.02,210,0.06,-350,-0.11,9160,0.01,1
70,Entry long,2021-03-18 00:00,B=1|T=20210318T0400,16587.25,1,331745,50,0.02,210,0.06,-350,-0.11,9160,0.01,1
71,Exit long,2021-03-18 02:00,X,16607.25,1,331795,350,0.11,660,0.20,-85,-0.03,9510,0.01,1
71,Entry long,2021-03-18 01:00,B=0|T=20210318T0500,16589.75,1,331795,350,0.11,660,0.20,-85,-0.03,9510,0.01,1
72,Exit long,2021-03-18 03:00,X,16461,1,332145,-2925,-0.88,90,0.03,-3545,-1.07,6585,0.01,1
72,Entry long,2021-03-18 02:00,B=1|T=20210318T0600,16607.25,1,332145,-2925,-0.88,90,0.03,-3545,-1.07,6585,0.01,1
73,Exit long,2021-03-22 00:00,X,16311.25,1,329220,-2995,-0.91,455,0.14,-7705,-2.34,3590,0.00,43
73,Entry long,2021-03-18 03:00,B=0|T=20210318T0700,16461,1,329220,-2995,-0.91,455,0.14,-7705,-2.34,3590,0.00,43
74,Exit long,2021-03-22 01:00,X,16306.5,1,326225,-95,-0.03,255,0.08,-480,-0.15,3495,0.00,1
74,Entry long,2021-03-22 00:00,B=1|T=20210322T0400,16311.25,1,326225,-95,-0.03,255,0.08,-480,-0.15,3495,0.00,1
75,Exit long,2021-03-22 05:00,X,16312.5,1,326130,120,0.04,310,0.10,-850,-0.26,3615,0.00,4
75,Entry long,2021-03-22 01:00,B=0|T=20210322T0500,16306.5,1,326130,120,0.04,310,0.10,-850,-0.26,3615,0.00,4
76,Exit long,2021-03-24 09:00,X,16350,1,326250,750,0.23,5070,1.55,-95,-0.03,4365,0.00,50
76,Entry long,2021-03-22 05:00,B=1|T=20210322T0900,16312.5,1,326250,750,0.23,5070,1.55,-95,-0.03,4365,0.00,50
77,Exit long,2021-03-26 09:00,X,16202.5,1,327000,-2950,-0.90,1850,0.57,-6925,-2.12,1415,0.00,46
77,Entry long,2021-03-24 09:00,B=0|T=20210324T1300,16350,1,327000,-2950,-0.90,1850,0.57,-6925,-2.12,1415,0.00,46
78,Exit long,2021-03-30 07:00,X,16242.5,1,324050,800,0.25,3890,1.20,-2150,-0.66,2215,0.00,44
78,Entry long,2021-03-26 09:00,B=1|T=20210326T1300,16202.5,1,324050,800,0.25,3890,1.20,-2150,-0.66,2215,0.00,44
79,Exit long,2021-03-30 08:00,X,16255,1,324850,250,0.08,390,0.12,-270,-0.08,2465,0.00,1
79,Entry long,2021-03-30 07:00,B=0|T=20210330T1100,16242.5,1,324850,250,0.08,390,0.12,-270,-0.08,2465,0.00,1
80,Exit long,2021-03-30 09:00,X,16225.5,1,325100,-590,-0.18,545,0.17,-1115,-0.34,1875,0.00,1
80,Entry long,2021-03-30 08:00,B=1|T=20210330T1200,16255,1,325100,-590,-0.18,545,0.17,-1115,-0.34,1875,0.00,1
81,Exit long,2021-03-31 06:00,X,16352.5,1,324510,2540,0.78,2770,0.85,-1100,-0.34,4415,0.00,20
81,Entry long,2021-03-30 09:00,B=0|T=20210330T1300,16225.5,1,324510,2540,0.78,2770,0.85,-1100,-0.34,4415,0.00,20
82,Exit long,2021-04-04 18:00,X,16716,1,327050,7270,2.22,8690,2.66,-285,-0.09,11685,0.01,50
82,Entry long,2021-03-31 06:00,B=1|T=20210331T1000,16352.5,1,327050,7270,2.22,8690,2.66,-285,-0.09,11685,0.01,50
83,Exit long,2021-04-04 19:00,X,16745.5,1,334320,590,0.18,680,0.20,-125,-0.04,12275,0.01,1
83,Entry long,2021-04-04 18:00,B=0|T=20210404T2200,16716,1,334320,590,0.18,680,0.20,-125,-0.04,12275,0.01,1
84,Exit long,2021-04-04 20:00,X,16736.25,1,334910,-185,-0.06,10,0.00,-405,-0.12,12090,0.01,1
84,Entry long,2021-04-04 19:00,B=1|T=20210404T2300,16745.5,1,334910,-185,-0.06,10,0.00,-405,-0.12,12090,0.01,1
85,Exit long,2021-04-05 08:00,X,16817.5,1,334725,1625,0.49,1820,0.54,-620,-0.19,13715,0.01,12
85,Entry long,2021-04-04 20:00,B=0|T=20210405T0000,16736.25,1,334725,1625,0.49,1820,0.54,-620,-0.19,13715,0.01,12
86,Exit long,2021-04-06 20:00,X,16984.75,1,336350,3345,0.99,4630,1.38,-285,-0.08,17060,0.02,34
86,Entry long,2021-04-05 08:00,B=1|T=20210405T1200,16817.5,1,336350,3345,0.99,4630,1.38,-285,-0.08,17060,0.02,34
87,Exit long,2021-04-07 02:00,X,16989,1,339695,85,0.03,140,0.04,-845,-0.25,17145,0.02,6
87,Entry long,2021-04-06 20:00,B=0|T=20210407T0000,16984.75,1,339695,85,0.03,140,0.04,-845,-0.25,17145,0.02,6
88,Exit long,2021-04-07 04:00,X,16971.25,1,339780,-355,-0.10,255,0.08,-395,-0.12,16790,0.02,2
88,Entry long,2021-04-07 02:00,B=1|T=20210407T0600,16989,1,339780,-355,-0.10,255,0.08,-395,-0.12,16790,0.02,2
89,Exit long,2021-04-07 14:00,X,17010.75,1,339425,790,0.23,1275,0.38,-1295,-0.38,17580,0.02,10
89,Entry long,2021-04-07 04:00,B=0|T=20210407T0800,16971.25,1,339425,790,0.23,1275,0.38,-1295,-0.38,17580,0.02,10
90,Exit long,2021-04-07 15:00,X,16998.75,1,340215,-240,-0.07,370,0.11,-870,-0.26,17340,0.02,1
90,Entry long,2021-04-07 14:00,B=1|T=20210407T1800,17010.75,1,340215,-240,-0.07,370,0.11,-870,-0.26,17340,0.02,1
91,Exit long,2021-04-07 16:00,X,17015,1,339975,325,0.10,385,0.11,-30,-0.01,17665,0.02,1
91,Entry long,2021-04-07 15:00,B=0|T=20210407T1900,16998.75,1,339975,325,0.10,385,0.11,-30,-0.01,17665,0.02,1
92,Exit long,2021-04-08 12:00,X,17118.75,1,340300,2075,0.61,2680,0.79,-110,-0.03,19740,0.02,19
92,Entry long,2021-04-07 16:00,B=1|T=20210407T2000,17015,1,340300,2075,0.61,2680,0.79,-110,-0.03,19740,0.02,19
93,Exit long,2021-04-08 15:00,X,17143.75,1,342375,500,0.15,550,0.16,-160,-0.05,20240,0.02,3
93,Entry long,2021-04-08 12:00,B=0|T=20210408T1600,17118.75,1,342375,500,0.15,550,0.16,-160,-0.05,20240,0.02,3
94,Exit long,2021-04-09 01:00,X,17137,1,342875,-135,-0.04,1840,0.54,-550,-0.16,20105,0.02,9
94,Entry long,2021-04-08 15:00,B=1|T=20210408T1900,17143.75,1,342875,-135,-0.04,1840,0.54,-550,-0.16,20105,0.02,9
95,Exit long,2021-04-09 11:00,X,17160.25,1,342740,465,0.14,560,0.16,-1895,-0.55,20570,0.02,10
95,Entry long,2021-04-09 01:00,B=0|T=20210409T0500,17137,1,342740,465,0.14,560,0.16,-1895,-0.55,20570,0.02,10
96,Exit long,2021-04-11 19:00,X,17173,1,343205,255,0.07,1470,0.43,-305,-0.09,20825,0.02,7
96,Entry long,2021-04-09 11:00,B=1|T=20210409T1500,17160.25,1,343205,255,0.07,1470,0.43,-305,-0.09,20825,0.02,7
97,Exit long,2021-04-11 20:00,X,17196.75,1,343460,475,0.14,610,0.18,-225,-0.07,21300,0.02,1
97,Entry long,2021-04-11 19:00,B=0|T=20210411T2300,17173,1,343460,475,0.14,610,0.18,-225,-0.07,21300,0.02,1
98,Exit long,2021-04-11 22:00,X,17185.5,1,343935,-225,-0.07,310,0.09,-400,-0.12,21075,0.02,2
98,Entry long,2021-04-11 20:00,B=1|T=20210412T0000,17196.75,1,343935,-225,-0.07,310,0.09,-400,-0.12,21075,0.02,2
99,Exit long,2021-04-12 02:00,X,17204.25,1,343710,375,0.11,465,0.14,-330,-0.10,21450,0.02,4
99,Entry long,2021-04-11 22:00,B=0|T=20210412T0200,17185.5,1,343710,375,0.11,465,0.14,-330,-0.10,21450,0.02,4
100,Exit long,2021-04-12 06:00,X,17173.25,1,344085,-620,-0.18,320,0.09,-680,-0.20,20830,0.02,4
100,Entry long,2021-04-12 02:00,B=1|T=20210412T0600,17204.25,1,344085,-620,-0.18,320,0.09,-680,-0.20,20830,0.02,4
101,Exit long,2021-04-12 12:00,X,17210.25,1,343465,740,0.22,790,0.23,-945,-0.28,21570,0.02,6
101,Entry long,2021-04-12 06:00,B=0|T=20210412T1000,17173.25,1,343465,740,0.22,790,0.23,-945,-0.28,21570,0.02,6
