trade_date,year,dow,month,tdom,tdom_rev,atr14_prior,opex_week,opex_friday,quarter_opex,half_day,pre_holiday,post_holiday,fomc_proxy,spike1400,spike0830,seg_rth_full,seg_am1_0930_1030,seg_am2_0930_1100,seg_open15,seg_mid_1100_1400,seg_pm_1400_1600,seg_lasthr_1500_1600,seg_pre30_1500_1530,seg_close30_1530_1600,seg_pre15_1545_1600,seg_fomc30_1400_1430,seg_fomc60_1400_1500,seg_on_sess_1800_0930,seg_rel830_0830_0930,seg_half_0930_1300,seg_gap
2022-09-27,2022,1,9,19,-4,333.05357142857144,False,False,False,False,False,False,False,0.9672741824798462,0.3203112665289999,-137.20000000000073,-11.700000000000728,22.799999999999272,59.29999999999927,-208.0,48.0,1.5,-29.299999999999272,30.799999999999272,12.5,2.7999999999992724,46.5,145.0,-34.79999999999927,-177.70000000000073,152.25
2022-09-28,2022,2,9,20,-3,329.48214285714283,False,False,False,False,False,False,False,0.6854984264873704,0.43729824102120696,229.0,68.20000000000073,67.0,-2.7999999999992724,83.20000000000073,78.79999999999927,36.0,61.20000000000073,-25.200000000000728,-33.0,25.0,42.79999999999927,-36.79999999999927,57.20000000000073,138.5,-1.75
2022-09-29,2022,3,9,21,-2,344.35714285714283,False,False,False,False,False,False,False,0.9673838150020515,0.8964906440399786,-149.0,-219.29999999999927,-170.5,-120.5,-105.79999999999927,127.29999999999927,127.0,54.70000000000073,72.29999999999927,36.5,17.299999999999272,0.2999999999992724,-162.5,-9.700000000000728,-212.70000000000073,-166.75
2022-09-30,2022,4,9,22,-1,358.0357142857143,False,False,False,False,False,False,False,0.7824345017446677,2.105419766206164,-154.0,63.0,104.70000000000073,23.299999999999272,-150.70000000000073,-108.0,-78.5,15.5,-94.0,-54.5,24.700000000000728,-29.5,-20.700000000000728,4.0,18.700000000000728,-45.25
2022-10-03,2022,0,10,1,-21,362.8928571428572,False,False,False,False,False,False,False,0.6361074949424571,0.5248721098663341,188.70000000000073,101.5,81.70000000000073,-3.5,73.29999999999927,33.70000000000073,-41.0,6.0,-47.0,-10.799999999999272,57.29999999999927,74.70000000000073,116.70000000000073,47.29999999999927,96.5,74.75
2022-10-04,2022,1,10,2,-20,331.6607142857143,False,False,False,False,False,False,False,0.6834820595563459,0.3562953450338613,118.0,110.0,140.0,45.79999999999927,-51.0,29.0,0.7999999999992724,-39.400000000001455,40.20000000000073,32.79999999999927,-12.200000000000728,28.200000000000728,197.5,27.0,83.5,225.25
2022-10-05,2022,2,10,3,-19,347.42857142857144,False,False,False,False,False,False,False,0.7722179929933288,0.3631503557985285,144.79999999999927,-108.20000000000073,-108.20000000000073,-26.0,170.70000000000073,82.29999999999927,-9.400000000001455,24.299999999999272,-33.70000000000073,-37.70000000000073,52.5,91.70000000000073,-132.79999999999927,-23.200000000000728,40.79999999999927,-157.75
2022-10-06,2022,3,10,4,-18,348.375,False,False,False,False,False,False,False,0.769794606254483,1.2090743930596497,-64.20000000000073,-59.400000000001455,30.299999999999272,96.59999999999854,-12.0,-82.5,-13.200000000000728,23.799999999999272,-37.0,-12.5,-29.299999999999272,-69.29999999999927,-20.299999999999272,-33.29999999999927,8.599999999998545,-46.0
2022-10-07,2022,4,10,5,-17,350.4107142857143,False,False,False,False,False,False,False,0.5366040445135815,2.5279406485580953,-228.20000000000073,-84.70000000000073,-85.20000000000073,-55.0,-125.5,-17.5,-21.799999999999272,-59.29999999999927,37.5,18.5,-22.299999999999272,4.299999999999272,-158.59999999999854,-81.79999999999927,-194.20000000000073,-196.5
2022-10-10,2022,0,10,6,-16,370.6071428571428,False,False,False,False,False,False,False,0.7671808494793044,0.20378881998461482,-128.59999999999854,-74.79999999999927,-175.0,-70.0,89.70000000000073,-43.29999999999927,-32.29999999999927,-13.5,-18.799999999999272,-32.0,-34.5,-11.0,63.599999999998545,43.0,-212.0,9.25
2022-10-11,2022,1,10,7,-15,370.2857142857143,False,False,False,False,False,False,False,0.46859720980916014,0.36011527818269584,-64.79999999999927,-99.5,-63.79999999999927,-32.20000000000073,113.79999999999927,-114.79999999999927,22.400000000001455,-16.799999999999272,39.20000000000073,14.700000000000728,-0.5,-137.20000000000073,-85.0,-54.20000000000073,81.5,-60.75
2022-10-12,2022,2,10,8,-14,358.48214285714283,False,False,False,False,False,False,False,2.210068754927104,1.9030844917224656,-5.0,15.0,4.5,68.79999999999927,-21.5,12.0,-7.799999999999272,11.700000000000728,-19.5,-28.5,75.0,19.799999999999272,-25.200000000000728,-14.0,40.79999999999927,21.5
2022-10-13,2022,3,10,9,-13,350.2857142857143,False,False,False,False,False,False,False,0.5641725715083196,3.3541598208565135,549.0,98.0,114.59999999999854,-8.400000000001455,405.2000000000007,29.200000000000728,-4.0,7.599999999998545,-11.599999999998545,-7.799999999999272,-29.200000000000728,33.20000000000073,-326.0,-18.0,447.2999999999993,-314.25
2022-10-14,2022,4,10,10,-12,370.7678571428572,False,False,False,False,False,False,False,0.4449321677059029,1.0332982149211765,-434.59999999999854,-258.0,-231.29999999999927,-115.79999999999927,-119.29999999999927,-84.0,-55.0,-19.400000000001455,-35.599999999998545,-21.599999999998545,-47.70000000000073,-29.0,109.29999999999927,96.0,-352.0,100.0
2022-10-17,2022,0,10,11,-11,388.3035714285714,True,False,False,False,False,False,False,1.0325520833333333,0.6291232638888888,88.79999999999927,62.79999999999927,23.200000000000728,54.20000000000073,80.29999999999927,-14.700000000000728,11.0,9.200000000000728,1.7999999999992724,-14.0,-22.0,-25.700000000000728,289.0,120.0,70.79999999999927,253.25
2022-10-18,2022,1,10,12,-10,395.3392857142857,True,False,False,False,False,False,False,0.5804427545942802,0.4603837483508378,-193.29999999999927,-151.29999999999927,-180.29999999999927,-67.29999999999927,13.0,-26.0,82.5,26.0,56.5,22.5,-8.0,-108.5,236.0,43.0,-232.59999999999854,292.25
2022-10-19,2022,2,10,13,-9,386.6428571428572,True,False,False,False,False,False,False,0.9572955953359307,0.8516608161518414,3.0,113.59999999999854,35.0,-24.200000000000728,-84.20000000000073,52.20000000000073,60.70000000000073,17.5,43.20000000000073,41.400000000001455,37.5,-8.5,-179.0,34.70000000000073,-28.400000000001455,-73.0
2022-10-20,2022,3,10,14,-8,376.5,True,False,False,False,False,False,False,0.6358960312888945,1.2413168081138448,-38.0,166.20000000000073,187.20000000000073,46.20000000000073,-230.0,4.799999999999272,6.0,-18.200000000000728,24.200000000000728,20.0,-38.0,-1.2000000000007276,3.7999999999992724,-51.79999999999927,37.79999999999927,-43.5
2022-10-21,2022,4,10,15,-7,375.625,True,True,False,False,False,False,False,0.6359525296689569,0.2671130543410368,347.40000000000146,101.0,56.400000000001455,92.20000000000073,216.0,75.0,67.20000000000073,57.20000000000073,10.0,8.700000000000728,10.599999999998545,7.799999999999272,-27.700000000000728,74.0,217.70000000000073,-44.0
2022-10-24,2022,0,10,16,-6,373.57142857142856,False,False,False,False,False,False,False,0.6647417609232668,0.3680898499562489,130.79999999999927,-109.5,-5.5,59.5,55.5,80.79999999999927,-2.2000000000007276,20.5,-22.700000000000728,-5.200000000000728,35.20000000000073,83.0,-100.79999999999927,-14.200000000000728,72.5,5.5
2022-10-25,2022,1,10,17,-5,368.5,False,False,False,False,False,False,False,0.7524676407010964,0.18858244133656274,156.20000000000073,102.20000000000073,87.0,43.20000000000073,30.200000000000728,39.0,22.0,42.5,-20.5,-15.200000000000728,24.799999999999272,17.0,77.59999999999854,73.79999999999927,127.0,36.25
2022-10-26,2022,2,10,18,-4,365.125,False,False,False,False,False,False,False,0.6775017673786204,0.2903780472590715,11.299999999999272,123.29999999999927,178.70000000000073,48.0,-94.70000000000073,-72.70000000000073,-5.700000000000728,9.700000000000728,-15.400000000001455,-22.700000000000728,-50.5,-67.0,-77.29999999999927,-55.0,103.0,-238.0
2022-10-27,2022,3,10,19,-3,369.7321428571428,False,False,False,False,False,False,False,0.6541238953572122,1.7423763207174934,-204.20000000000073,-18.700000000000728,-134.0,-44.20000000000073,-42.20000000000073,-28.0,-10.799999999999272,16.400000000001455,-27.200000000000728,-18.5,-24.200000000000728,-17.200000000000728,21.400000000001455,24.700000000000728,-159.40000000000146,-52.0
2022-10-28,2022,4,10,20,-2,355.1607142857143,False,False,False,False,False,False,False,0.7544712332702852,2.1854454473627505,356.7999999999993,171.79999999999927,239.0,108.29999999999927,60.79999999999927,57.0,20.5,12.5,8.0,12.799999999999272,3.0,36.5,100.70000000000073,51.400000000001455,284.0,-26.25
2022-10-31,2022,0,10,21,-1,375.4285714285714,False,False,False,False,False,False,False,0.6506189734437375,0.2813664713783905,-58.599999999998545,-108.0,-89.0,-51.79999999999927,55.0,-24.599999999998545,-4.0,1.2999999999992724,-5.299999999999272,-22.599999999998545,2.400000000001455,-20.599999999998545,-70.70000000000073,2.2999999999992724,-66.0,-96.25
2022-11-01,2022,1,11,1,-22,372.25,False,False,False,False,False,False,False,0.5278518024627393,0.33605626206366435,-273.0,-182.0,-240.59999999999854,-64.0,-9.200000000000728,-23.200000000000728,-36.70000000000073,-28.0,-8.700000000000728,-11.400000000001455,1.0,13.5,150.59999999999854,-3.400000000001455,-246.59999999999854,147.0
2022-11-02,2022,2,11,2,-21,381.6785714285714,False,False,False,False,False,False,True,4.437491940837388,0.28969048039772866,-406.0,-54.70000000000073,-51.20000000000073,-17.400000000001455,79.5,-434.2999999999993,-260.0,-182.20000000000073,-77.79999999999927,-87.29999999999927,64.70000000000073,-174.29999999999927,-4.799999999999272,-0.7999999999992724,-93.40000000000146,0.0
2022-11-03,2022,3,11,3,-20,372.0535714285714,False,False,False,False,False,False,False,0.5873757864983074,0.5268859843608682,-73.0,25.5,55.0,-32.70000000000073,-74.70000000000073,-53.29999999999927,-76.5,-7.200000000000728,-69.29999999999927,-41.5,25.400000000001455,23.200000000000728,-139.5,-34.70000000000073,58.0,-109.25
2022-11-04,2022,4,11,4,-19,355.0,False,False,False,False,False,False,False,0.571817447950889,2.6295548838868346,-47.0,-12.5,-40.29999999999927,-184.29999999999927,-216.70000000000073,210.0,104.29999999999927,32.599999999998545,71.70000000000073,21.700000000000728,45.5,105.70000000000073,226.70000000000073,228.70000000000073,-238.5,207.5
2022-11-07,2022,0,11,5,-18,348.2142857142857,False,False,False,False,False,False,False,0.7602034926230076,0.27654678252303144,54.0,-82.70000000000073,-49.0,-73.0,28.700000000000728,74.29999999999927,16.299999999999272,28.0,-11.700000000000728,-3.5,53.79999999999927,58.0,171.0,48.29999999999927,-57.5,46.0
2022-11-08,2022,1,11,6,-17,343.73214285714283,False,False,False,False,False,False,False,0.9316346416789841,0.16118993800387002,24.0,43.29999999999927,67.0,-43.70000000000073,-65.70000000000073,22.700000000000728,50.0,97.59999999999854,-47.599999999998545,-51.0,-112.0,-27.299999999999272,43.400000000001455,-9.0,143.79999999999927,62.0
2022-11-09,2022,2,11,7,-16,341.5,False,False,False,False,False,False,False,0.6754967714019438,0.3193316469178538,-175.79999999999927,-12.299999999999272,-43.79999999999927,29.700000000000728,-85.0,-47.0,-24.799999999999272,4.0,-28.799999999999272,-20.0,0.7999999999992724,-22.200000000000728,-80.0,-18.400000000001455,-58.599999999998545,-76.0
2022-11-10,2022,3,11,8,-15,343.0178571428572,False,False,False,False,False,False,False,0.5826083096590909,4.043501420454546,238.79999999999927,6.0,60.79999999999927,-48.5,59.0,119.0,100.0,61.70000000000073,38.29999999999927,28.0,-0.2999999999992724,19.0,531.7999999999993,220.20000000000073,46.0,525.5
2022-11-11,2022,4,11,9,-14,371.44642857142856,False,False,False,False,False,False,False,0.7870446325743035,0.35979633483522927,224.20000000000073,127.0,152.70000000000073,33.0,82.29999999999927,-10.799999999999272,-26.0,-22.799999999999272,-3.2000000000007276,-14.0,5.0,15.200000000000728,-44.0,-81.70000000000073,162.70000000000073,-4.5
2022-11-14,2022,0,11,10,-13,370.375,True,False,False,False,False,False,False,0.8678641164715958,0.21500656580074223,-12.799999999999272,8.200000000000728,14.700000000000728,-53.599999999998545,113.29999999999927,-140.79999999999927,-110.0,-45.5,-64.5,-38.0,-13.599999999998545,-30.799999999999272,-15.200000000000728,-16.700000000000728,55.70000000000073,-87.5
2022-11-15,2022,1,11,11,-12,363.1785714285714,True,False,False,False,False,False,False,1.3182142282126184,2.847574579662811,-101.0,13.200000000000728,-45.79999999999927,-6.0,-120.5,65.29999999999927,-7.400000000001455,-21.700000000000728,14.299999999999272,15.0,43.70000000000073,72.70000000000073,249.29999999999927,-5.200000000000728,-36.29999999999927,279.0
2022-11-16,2022,2,11,12,-11,369.3571428571428,True,False,False,False,False,False,False,0.655107334862213,1.4761908342418888,-74.0,-67.29999999999927,-92.5,-2.2999999999992724,15.5,3.0,-21.5,-32.5,11.0,8.299999999999272,7.700000000000728,24.5,-44.29999999999927,-35.70000000000073,-35.5,-81.75
2022-11-17,2022,3,11,13,-10,365.0178571428572,True,False,False,False,False,False,False,0.706420462015412,0.7507474776604903,151.40000000000146,86.20000000000073,53.400000000001455,59.20000000000073,130.0,-32.0,28.0,-42.400000000001455,70.40000000000146,37.20000000000073,-56.20000000000073,-60.0,-212.20000000000073,-53.0,192.70000000000073,-189.5
2022-11-18,2022,4,11,14,-9,347.57142857142856,True,True,False,False,False,False,False,0.870241014225828,0.2085264573281658,-101.70000000000073,-92.5,-145.70000000000073,-38.29999999999927,-23.0,67.0,33.79999999999927,24.0,9.799999999999272,-5.400000000001455,3.7000000000007276,33.20000000000073,57.70000000000073,-17.0,-182.0,125.5
