trade_date,year,dow,roll_day,atr14_prior,prior_rth_close,gap,rth_open,rth_close,rth_high,rth_low,rth_high_min,rth_low_min,rth_vol,rth_ret,prior_sym,sym,p0930,p1000,p1030,p1100,p1130,p1200,p1230,p1300,p1330,p1400,p1430,p1500,p1515,p1530,p1545,p1600
2025-09-15,2025,0,1,234.98214285714286,24099.5,,24430.25,24537.25,24556.75,24227.75,1559,1024,181989,107.0,NQU5,NQZ5,24430.25,24258.5,24253.75,24260.0,24251.5,24277.5,24275.25,24505.0,24494.0,24524.0,24508.75,24514.0,24508.75,24514.0,24526.0,24537.25
2025-09-16,2025,1,0,246.125,24537.25,48.5,24585.75,24529.25,24600.5,24499.25,0930,1204,259533,-56.5,NQZ5,NQZ5,24585.75,24539.5,24541.0,24528.25,24519.75,24505.25,24522.75,24530.5,24529.0,24529.25,24529.25,24548.0,24549.5,24537.25,24541.25,24529.25
2025-09-17,2025,2,0,241.21428571428572,24529.25,2.25,24531.5,24491.0,24550.75,24242.0,1529,1454,477499,-40.5,NQZ5,NQZ5,24531.5,24476.75,24440.75,24421.25,24416.0,24403.0,24416.25,24392.0,24414.25,24470.5,24425.75,24407.75,24457.5,24522.75,24482.5,24491.0
2025-09-18,2025,3,0,246.75,24491.0,165.0,24656.0,24701.25,24816.0,24598.75,1120,0946,395301,45.25,NQZ5,NQZ5,24656.0,24700.25,24802.75,24744.25,24792.25,24736.25,24771.5,24790.25,24765.0,24734.0,24740.5,24754.5,24736.5,24726.25,24708.75,24701.25
2025-09-19,2025,4,0,244.44642857142858,24701.25,68.25,24769.5,24860.75,24888.0,24708.0,1555,1130,379782,91.25,NQZ5,NQZ5,24769.5,24786.25,24781.75,24774.5,24717.75,24778.75,24821.0,24821.75,24813.5,24812.0,24812.25,24824.75,24837.75,24842.25,24840.0,24860.75
2025-09-22,2025,0,0,253.14285714285714,24860.75,-32.25,24828.5,24989.25,25027.25,24814.25,1515,0930,371114,160.75,NQZ5,NQZ5,24828.5,24868.5,24902.5,24931.0,24922.5,24919.0,24977.5,24992.25,24986.75,24990.0,25011.75,25014.25,25024.5,25016.25,24997.5,24989.25
2025-09-23,2025,1,0,235.30357142857142,24989.25,5.75,24995.0,24834.0,25009.75,24780.5,0934,1341,475088,-161.0,NQZ5,NQZ5,24995.0,24933.0,24956.0,24939.5,24958.75,24948.75,24931.5,24920.25,24867.5,24830.5,24817.75,24805.5,24802.25,24806.25,24834.5,24834.0
2025-09-24,2025,2,0,233.82142857142858,24834.0,35.25,24869.25,24747.25,24899.25,24627.0,0930,1212,440548,-122.0,NQZ5,NQZ5,24869.25,24813.75,24819.25,24799.0,24792.5,24677.0,24691.75,24693.25,24740.25,24710.5,24699.75,24731.5,24717.0,24725.25,24701.5,24747.25
2025-09-25,2025,3,0,233.96428571428572,24747.25,-205.25,24542.0,24638.0,24696.75,24422.5,1149,0944,558244,96.0,NQZ5,NQZ5,24542.0,24453.75,24617.75,24622.0,24614.25,24685.25,24656.0,24628.25,24596.25,24497.25,24580.5,24631.25,24620.5,24622.25,24605.25,24638.0
2025-09-26,2025,4,0,228.80357142857142,24638.0,-30.75,24607.25,24731.0,24737.0,24520.0,1440,1027,419547,123.75,NQZ5,NQZ5,24607.25,24722.0,24556.25,24564.75,24631.75,24572.5,24662.75,24686.75,24708.25,24700.75,24716.25,24724.75,24711.25,24719.25,24714.75,24731.0
