sm,n,mean_r,std_r,mabs_r,tstat,mean_2021,mean_2022,mean_2023,mean_2024,mean_2025,mean_2026,et
123,1409,-0.03073101490418685,4.749572417126837,3.074449964513833,-0.24287224430630422,-0.03629343629341382,0.10232558139538268,-0.09573643410852996,0.1683397683397908,0.05426356589143057,-0.796581196581265,20:03
124,1409,-0.24797728885733117,7.2411006899334796,3.0109297374023987,-1.2854725808191307,0.13397683397686488,0.010465116279058486,-0.2852713178294094,-0.07992277992278274,-1.1589147286821846,0.055555555555617746,20:04
125,1409,0.29879347054647654,6.156165468710244,3.34975159687721,1.821865512252134,0.4725868725868501,0.06317829457362649,-0.09031007751944753,0.05598455598457003,0.7550387596899619,0.8230769230769168,20:05
126,1409,-0.013200851667848505,4.757746249149686,3.0858765081617703,-0.10414925605885497,0.2683397683396981,0.23604651162792673,-0.19767441860462295,-0.20810810810808564,0.06472868217055956,-0.5196581196581446,20:06
127,1409,0.026472675656496032,4.478825077321277,2.8822569198012506,0.2218652237258618,-0.07258687258684168,0.028294573643365732,-0.18294573643409726,-0.059459459459465076,0.2589147286821395,0.38119658119669314,20:07
128,1409,0.2662171753016365,4.231893500059345,2.7330731014904663,2.3613308327749842,0.08455598455597613,0.328682170542661,0.2395348837208992,0.09266409266409266,0.6271317829457759,0.17777777777777157,20:08
129,1409,0.020652945351301626,4.3157138562376565,2.7346344925479,0.1796324736299632,-0.07220077220071883,0.09883720930233968,-0.10581395348834108,0.0945945945945946,-0.17829457364352366,0.607692307692202,20:09
130,1409,-0.002909865152589457,4.457189953086421,2.8611071682044438,-0.024505705908041478,0.13011583011583291,-0.3860465116279295,-0.14186046511630163,0.08108108108103894,0.019379844961339016,0.6188034188034002,20:10
131,1409,0.21639460610359737,4.199872525406663,2.7002838892831904,1.9340416342049396,0.31814671814666756,0.3325581395347963,0.12790697674420015,0.002702702702747651,0.5147286821704693,-0.2547008547007863,20:11
132,1409,-0.07735982966642235,4.348637875099329,2.7527324343505994,-0.6677559359021078,-0.09845559845552822,0.27480620155040736,0.10968992248057503,-0.4656370656371443,-0.3585271317828752,0.2598290598290723,20:12
133,1409,0.09325762952450456,3.8452283895729233,2.431937544357702,0.9103695616573877,0.07258687258685573,-0.17829457364334034,0.008914728682195923,0.10463320463326925,0.496511627906957,0.00940170940166587,20:13
134,1409,0.008232789212213952,3.8404540943180145,2.4255500354861104,0.0804673898893295,0.06756756756759566,0.08333333333331923,0.09689922480621566,-0.0733590733590593,-0.009689922480634256,-0.26410256410254546,20:14
135,1409,-0.02129169623847216,5.824922668540161,3.540951029098634,-0.137206786879304,0.18494208494199224,-0.1306201550386638,-0.18992248062022554,-0.009266409266414885,0.33023255813958,-0.6666666666666666,20:15
136,1409,0.14421575585523247,5.047401664389548,3.070972320794913,1.0725075064137315,0.44362934362937734,-0.11007751937987881,0.22209302325588165,-0.27644787644787083,-0.07751937984497534,1.2905982905983528,20:16
137,1409,0.0415188076649745,4.791410663471333,2.802909865152582,0.32526473092002833,-0.1451737451737536,-0.016279069767501084,-0.015116279069787183,0.3405405405404731,-0.1825581395348781,0.5393162393161336,20:17
138,1409,-0.11937544357698225,4.903830360077618,2.7155429382540737,-0.913766131142877,-0.08416988416983923,0.05658914728688657,0.015891472868211413,-0.17760617760609332,-0.40387596899232137,-0.1273504273504087,20:18
139,1409,0.12334989354151313,4.319165352934731,2.452661462029782,1.0719991595341214,0.06640926640925517,0.12364341085264831,-0.10930232558138407,0.1289575289574503,0.23255813953499652,0.5085470085470085,20:19
140,1409,-0.022995031937553135,4.235891705255811,2.674946770759391,-0.20377207376515663,-0.31737451737452016,-0.07906976744188021,0.06279069767446373,0.05366795366795929,0.162790697674334,-0.016239316239297582,20:20
141,1408,0.08252840909090185,4.368009853974738,2.7342329545454516,0.7089591160713714,0.1355212355211737,0.23139534883718393,0.21240310077517688,-0.09263565891467793,0.14767441860465963,-0.4068376068375944,20:21
142,1408,-0.1830965909090594,4.1619844837460525,2.567613636363611,-1.6507493267669682,-0.07297297297293645,-0.25697674418593086,0.0015503875969189657,0.13410852713174912,-0.4624031007751628,-0.7547008547008485,20:22
143,1409,0.07998580553582346,4.08810488627547,2.4670688431511287,0.7344232037987235,0.03590733590734715,0.1364341085271064,-0.10232558139538268,0.055984555984513844,0.24961240310078084,0.13418803418800931,20:23
144,1409,-0.05613910574878019,3.5592191188229774,2.290773598296665,-0.5920607368480622,-0.11003861003868028,0.11046511627905567,-0.1135658914729077,0.37374517374522714,-0.29844961240314305,-0.5948717948718135,20:24
145,1409,0.20525195173886368,3.8617963893009706,2.5694819020581905,1.9950483253626357,0.3212355212356364,0.5104651162790725,-0.050387596899182506,0.26679536679540333,-0.08294573643408597,0.33846153846155713,20:25
146,1409,0.08197303051807729,3.9261314602821775,2.4321504613200657,0.7837213005559865,-0.21389961389966167,-0.06782945736435518,0.017054263565911214,0.3837837837836911,-0.12403100775192388,0.9965811965812152,20:26
147,1409,0.05706174591908742,4.171779216111856,2.4868701206529558,0.5134276295890353,0.011196911196902769,0.035658914728713194,-0.015116279069787183,-0.17799227799223025,0.4104651162790613,0.10598290598276296,20:27
148,1409,0.11249112845992129,3.514645436621748,2.2726046841731713,1.2014127893018918,0.3498069498069723,0.3077519379844877,0.055813953488363634,-0.1779922779922162,-0.3007751937984581,0.835897435897554,20:28
149,1409,-0.0288857345635414,3.6499155954933014,2.266643009226397,-0.2970681496784208,0.03436293436293998,-0.20968992248061452,0.09651162790695418,0.05328185328178024,-0.30581395348837775,0.38205128205122607,20:29
150,1409,0.02441447835346643,4.8493500579300965,3.0536550745209436,0.1889815516764458,0.15521235521234397,-0.23023255813959692,-0.0286821705426272,0.5679536679537326,-0.5124031007751261,0.39401709401723706,20:30
