name,family,h,dir,n,mean,median,q25,q75,wr,hit100,hit150,hit200,cond_minus_uncond_raw,dir_edge_vs_base,note
V3_vix_up_nq_up_strong,vol,5,-1,189,9.412698412698413,-17.75,-88.25,72.5,0.43915343915343913,0.4126984126984127,0.31746031746031744,0.23809523809523808,-28.30367530652702,28.30367530652702,strong price-vol divergence -> short
V4_vix_high,vol,5,-1,758,-51.184366754617415,-28.625,-132.75,55.9375,0.39577836411609496,0.4762532981530343,0.3575197889182058,0.2796833773087071,32.29338986078881,-32.29338986078881,VIX in top decile of 1y -> short(test)
V5_vix_low_long,vol,5,1,1340,19.383208955223882,7.625,-29.5,48.5,0.567910447761194,0.2373134328358209,0.17537313432835822,0.14328358208955225,0.49223206139527775,0.49223206139527775,VIX bottom decile -> calm -> long(test)
B1_iwm_vs_spy_neg,breadth,5,-1,676,-37.76738165680474,-24.375,-94.1875,34.25,0.3772189349112426,0.3727810650887574,0.27366863905325445,0.22485207100591717,18.876404762976133,-18.876404762976133,small caps lagging (bottom 10%) -> breadth deteriorating -> short
B2_iwm_vs_nq_neg,breadth,5,-1,674,-10.054154302670623,-10.75,-74.8125,52.3125,0.43471810089020774,0.3768545994065282,0.2655786350148368,0.20474777448071216,-8.836822591157981,8.836822591157981,IWM lagging NQ (bottom10) -> narrow breadth -> short
B3_iwm_r10_weak,breadth,5,-1,693,-19.286796536796537,-12.25,-94.5,50.75,0.4401154401154401,0.4227994227994228,0.3318903318903319,0.2510822510822511,0.3958196429679326,-0.3958196429679326,IWM 10d weak -> short
B4_iwm_vs_spy_pos_long,breadth,5,1,659,3.4535811836115324,12.0,-56.5,68.75,0.5614567526555387,0.33990895295902884,0.251896813353566,0.21396054628224584,-15.437395710217071,-15.437395710217071,small caps leading -> broad risk-on -> long
X1_riskoff_top10,composite,5,-1,701,-44.69079885877318,-20.0,-97.0,36.0,0.4037089871611983,0.3880171184022825,0.289586305278174,0.2296718972895863,25.799821964944574,-25.799821964944574,macro stress composite top 10% -> short
X2_riskoff_top5,composite,5,-1,360,-40.13125,-22.125,-102.4375,44.9375,0.39166666666666666,0.4305555555555556,0.31666666666666665,0.26666666666666666,21.240273106171397,-21.240273106171397,macro stress composite top 5% -> short
X3_riskoff_z2,composite,5,-1,245,-44.90408163265306,-22.25,-99.0,41.5,0.39591836734693875,0.4122448979591837,0.31020408163265306,0.2612244897959184,26.013104738824456,-26.013104738824456,composite z>2 -> short
X4_riskoff_bot10_long,composite,5,1,654,28.90276758409786,17.125,-40.25,76.625,0.5932721712538226,0.37003058103975534,0.26605504587155965,0.20948012232415902,10.011790690269255,10.011790690269255,risk-on composite (bottom10) -> long
M1_gld_up_short,xasset,5,-1,571,-22.88353765323993,-21.25,-111.0,48.375,0.4063047285464098,0.4133099824868651,0.3380035026269702,0.2539404553415061,3.992560759411326,-3.992560759411326,gold spike (fear bid) -> short
M2_gld_vs_spy,xasset,5,-1,596,-52.56963087248322,-28.625,-140.25,48.125,0.40268456375838924,0.4412751677852349,0.37416107382550334,0.2936241610738255,33.67865397865462,-33.67865397865462,gold outperforming equity strongly -> risk-off -> short
M3_btc_weak_short,xasset,5,-1,358,-64.52234636871508,-42.875,-198.75,68.5625,0.3715083798882682,0.5307262569832403,0.45251396648044695,0.388268156424581,45.63136947488647,-45.63136947488647,BTC 5d weak (risk appetite off) -> short
M4_btc_strong_long,xasset,5,1,379,40.327836411609496,22.0,-49.375,107.5,0.58311345646438,0.47493403693931396,0.3562005277044855,0.3034300791556728,21.436859517780892,21.436859517780892,BTC 5d strong (risk-on) -> long
M5_nq_z20_low_meanrev,xasset,5,1,299,64.76056856187292,23.0,-29.75,121.0,0.6153846153846154,0.5117056856187291,0.40468227424749165,0.3210702341137124,45.86959166804431,45.86959166804431,NQ 2std below 20d mean -> mean-revert long
M6_nq_z20_high_meanrev,xasset,5,-1,336,-1.5431547619047619,-10.375,-50.0,43.8125,0.4107142857142857,0.30654761904761907,0.2261904761904762,0.18154761904761904,-17.34782213192384,17.34782213192384,NQ 2std above 20d mean -> mean-revert short
